"Plot Title: 10350065"
"#","Date Time, GMT+01:00","Line 1 Open (LGR S/N: 10350065)","Coupler Detached (LGR S/N: 10350065)","Stopped (LGR S/N: 10350065)","Coupler Attached (LGR S/N: 10350065)","Good Battery (LGR S/N: 10350065)","Line 2 Open (LGR S/N: 10350065)","Started (LGR S/N: 10350065)","Ext. Line Event (LGR S/N: 10350065)","Line 1 Closed (LGR S/N: 10350065)","Line 3 Open (LGR S/N: 10350065)","Interval Change (LGR S/N: 10350065)","Bad Battery (LGR S/N: 10350065)","Line 3 Closed (LGR S/N: 10350065)","Custom Event (LGR S/N: 10350065)","Line 2 Closed (LGR S/N: 10350065)","End Of File (LGR S/N: 10350065)"
105,12/24/2232 11:40:48 AM,,,,,,Logged,,,,,,,,,,
106,03/27/2254 12:07:28 AM,Logged,Logged,,,,,,,,,,,,,,
107,04/21/2227 03:24:05 PM,Logged,,,,,,,,,,,,,,,
108,12/24/2232 11:52:01 AM,Logged,,,,,,,,,,,,,,,
109,11/04/2259 12:18:43 AM,,Logged,,,,,Logged,,,,,,,,,
110,11/22/2232 01:57:10 PM,,Logged,,,,,Logged,,,,,,,,,
111,12/24/2232 11:52:01 AM,Logged,Logged,,,,,,,,,,,,,,
112,02/04/2267 12:20:59 AM,,,,,,Logged,,,,,,,,,,
113,02/26/2240 05:05:03 PM,,,,,,Logged,,,,,,,,,,
114,07/24/2241 05:35:08 AM,,,,,,Logged,,,,,,,,,,
115,08/04/2248 02:04:10 PM,,,,,,Logged,,,,,,,,,,
116,08/16/2255 10:33:13 PM,,,,,,Logged,,,,,,,,,,
117,08/31/2262 07:51:20 AM,,,,,,Logged,,,,,,,,,,
118,06/29/2268 06:11:31 AM,Logged,,,,,,,,,,,,,,,
119,08/16/2255 10:33:13 PM,Logged,,,,,,,,,,,,,,,
120,08/31/2262 07:51:20 AM,Logged,,,,,Logged,,,,,,,,,,
121,09/11/2269 04:20:23 PM,Logged,,,,,Logged,,,,,,,,,,
122,05/24/2205 12:26:13 AM,Logged,,,,,,,,,,,,,,,
123,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
124,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
125,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
126,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
127,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
128,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
129,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
130,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
131,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
132,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
133,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
134,01/01/1970 12:00:00 AM,Logged,,,,,,,,,,,,,,,
135,02/03/2274 05:33:41 AM,,Logged,,,,,Logged,,,,,,,,,
136,02/26/2240 05:07:47 PM,,Logged,,,,,,,,,,,,,,
137,07/24/2241 05:35:08 AM,,Logged,,,,,,,,,,,,,,
138,03/09/2247 07:24:33 AM,,Logged,,,,,Logged,,,,,,,,,
139,03/20/2254 03:53:36 PM,,Logged,,,,,Logged,,,,,,,,,
140,04/04/2261 01:11:43 AM,,Logged,,,,,Logged,,,,,,,,,
141,04/15/2268 09:40:46 AM,,Logged,,,,,Logged,,,,,,,,,
142,04/30/2275 06:58:53 PM,,Logged,,,,,Logged,,,,,,,,,
143,09/26/2276 07:50:46 PM,,,,,,Logged,,,,Logged,,,,,,
144,05/18/2282 11:18:21 PM,,Logged,,,,,Logged,,,,,,,,,
145,10/16/2283 12:10:14 AM,,,,,,Logged,,,,Logged,,,,,,
146,09/30/2119 11:23:26 PM,,,,,,,,,,Logged,,,,,,
147,10/14/2076 09:22:02 AM,,,,,,,,,,Logged,,,,,,
148,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
149,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
150,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
151,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
152,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
153,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
154,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
155,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
156,01/01/1970 12:00:00 AM,,,,,,,,,,Logged,,,,,,
157,06/03/2289 02:48:45 AM,,Logged,,,,,Logged,,,,,,,,,
158,01/22/2247 01:02:53 AM,,,,,,,Logged,,,,,,,,,
159,12/18/2203 09:31:37 AM,,,,,,,Logged,,,,,,,,,
160,12/31/2160 01:18:13 AM,,,,,,,Logged,,,,,,,,,
161,04/24/2118 01:52:02 AM,,,,,,,Logged,,,,,,,,,
162,05/10/2075 12:15:10 AM,,,,,,,Logged,,,,,,,,,
163,07/11/2032 11:19:22 PM,,,,,,,Logged,,,,,,,,,
164,02/08/1990 08:15:51 PM,,,,,,,Logged,,,,,,,,,
165,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
166,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
167,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
168,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
169,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
170,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
171,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
172,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
173,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
174,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
175,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
176,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
177,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
178,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
179,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
180,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
181,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
182,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
183,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
184,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
185,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
186,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
187,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
188,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
189,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
190,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
191,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
192,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
193,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
194,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
195,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
196,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
197,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
198,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
199,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
200,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
201,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
202,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
203,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
204,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
205,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
206,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
207,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
208,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
209,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
210,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
211,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
212,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
213,01/01/1970 12:00:00 AM,,,,,,,Logged,,,,,,,,,
214,01/19/2312 11:11:49 PM,,,,,,Logged,,,,,,,,,,
215,01/19/2312 11:14:40 PM,,Logged,,,,,,,,,,,,,,
216,10/12/2334 05:26:40 AM,,,,,,Logged,,,,,,,,,,
217,09/19/2291 02:21:49 AM,,,,,,Logged,,,,,,,,,,
218,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
219,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
220,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
221,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
222,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
223,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
224,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
225,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
226,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
227,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
228,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
229,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
230,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
231,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
232,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
233,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
234,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
235,01/01/1970 12:00:00 AM,,,,,,Logged,,,,,,,,,,
236,10/12/2334 05:29:33 AM,,Logged,,,,,,,,,,,,,,
237,06/26/2248 09:45:13 PM,,Logged,,,,,,,,,,,,,,
238,05/24/2205 12:26:13 AM,,Logged,,,,,,,,,,,,,,
239,06/08/2162 10:49:38 PM,,Logged,,,,,,,,,,,,,,
240,09/30/2119 11:23:26 PM,,Logged,,,,,,,,,,,,,,
