date_hour,th
2022-12-12T20:00:00Z,-6.0745
2022-12-12T21:00:00Z,-5.845666666666666
2022-12-12T22:00:00Z,-5.721666666666667
2022-12-12T23:00:00Z,-5.783666666666667
2022-12-13T00:00:00Z,-5.845666666666666
2022-12-13T01:00:00Z,-5.970333333333333
2022-12-13T02:00:00Z,-6.282833333333333
2022-12-13T03:00:00Z,-6.220333333333333
2022-12-13T04:00:00Z,-6.1161666666666665
2022-12-13T05:00:00Z,-6.3661666666666665
2022-12-13T06:00:00Z,NA
2022-12-13T07:00:00Z,-6.429166666666666
2022-12-13T08:00:00Z,-5.743
2022-12-13T09:00:00Z,-5.025666666666666
2022-12-13T10:00:00Z,-4.3385
2022-12-13T11:00:00Z,-4.0195
2022-12-13T12:00:00Z,-4.000166666666667
2022-12-13T13:00:00Z,-3.801833333333333
2022-12-13T14:00:00Z,-3.8995
2022-12-13T15:00:00Z,-4.218166666666667
2022-12-13T16:00:00Z,-4.198333333333333
2022-12-13T17:00:00Z,-4.019
2022-12-13T18:00:00Z,-3.720833333333333
2022-12-13T19:00:00Z,-3.5433333333333334
2022-12-13T20:00:00Z,NA
2022-12-13T21:00:00Z,NA
2022-12-13T22:00:00Z,NA
2022-12-13T23:00:00Z,-3.1308333333333334
2022-12-14T00:00:00Z,-2.8578333333333332
2022-12-14T01:00:00Z,-2.6055
2022-12-14T02:00:00Z,-2.819166666666667
2022-12-14T03:00:00Z,-2.8578333333333332
2022-12-14T04:00:00Z,-2.528
2022-12-14T05:00:00Z,-2.3353333333333333
2022-12-14T06:00:00Z,-2.219666666666667
2022-12-14T07:00:00Z,-2.0468333333333333
2022-12-14T08:00:00Z,-1.742
2022-12-14T09:00:00Z,-1.2298333333333333
2022-12-14T10:00:00Z,-0.7786666666666666
2022-12-14T11:00:00Z,-0.7413333333333333
2022-12-14T12:00:00Z,-0.6293333333333333
2022-12-14T13:00:00Z,-0.40599999999999997
2022-12-14T14:00:00Z,NA
2022-12-14T15:00:00Z,-0.40599999999999997
2022-12-14T16:00:00Z,-0.6293333333333333
2022-12-14T17:00:00Z,-0.5546666666666666
2022-12-14T18:00:00Z,NA
2022-12-14T19:00:00Z,-0.29433333333333334
2022-12-14T20:00:00Z,-0.46166666666666667
2022-12-14T21:00:00Z,-0.7973333333333332
2022-12-14T22:00:00Z,NA
2022-12-14T23:00:00Z,-1.1164999999999998
2022-12-15T00:00:00Z,-1.268
2022-12-15T01:00:00Z,NA
2022-12-15T02:00:00Z,-1.4
2022-12-15T03:00:00Z,-1.4946666666666668
2022-12-15T04:00:00Z,NA
2022-12-15T05:00:00Z,-1.7226666666666668
2022-12-15T06:00:00Z,-2.0276666666666667
2022-12-15T07:00:00Z,-2.2003333333333335
2022-12-15T08:00:00Z,-2.066
2022-12-15T09:00:00Z,-1.7610000000000001
2022-12-15T10:00:00Z,-1.799
2022-12-15T11:00:00Z,-1.5331666666666668
2022-12-15T12:00:00Z,-1.4756666666666667
2022-12-15T13:00:00Z,-1.4380000000000002
2022-12-15T14:00:00Z,-1.5710000000000002
2022-12-15T15:00:00Z,-1.856
2022-12-15T16:00:00Z,-1.799
2022-12-15T17:00:00Z,-1.7228333333333334
2022-12-15T18:00:00Z,-1.6463333333333334
2022-12-15T19:00:00Z,-1.8751666666666666
2022-12-15T20:00:00Z,-2.2198333333333333
2022-12-15T21:00:00Z,-2.393
2022-12-15T22:00:00Z,-2.3928333333333334
2022-12-15T23:00:00Z,-2.489333333333333
2022-12-16T00:00:00Z,-2.6053333333333333
2022-12-16T01:00:00Z,-2.5086666666666666
2022-12-16T02:00:00Z,NA
2022-12-16T03:00:00Z,NA
2022-12-16T04:00:00Z,-2.566666666666667
2022-12-16T05:00:00Z,NA
2022-12-16T06:00:00Z,-2.761
2022-12-16T07:00:00Z,NA
2022-12-16T08:00:00Z,-2.4316666666666666
2022-12-16T09:00:00Z,-2.2773333333333334
2022-12-16T10:00:00Z,-2.3353333333333333
2022-12-16T11:00:00Z,-1.78
2022-12-16T12:00:00Z,-1.7036666666666667
2022-12-16T13:00:00Z,-1.8758333333333335
2022-12-16T14:00:00Z,-2.3928333333333334
2022-12-16T15:00:00Z,-2.683
2022-12-16T16:00:00Z,NA
2022-12-16T17:00:00Z,-2.916
2022-12-16T18:00:00Z,-3.4050000000000002
2022-12-16T19:00:00Z,-3.1111666666666666
2022-12-16T20:00:00Z,-3.248666666666667
2022-12-16T21:00:00Z,-3.582666666666667
2022-12-16T22:00:00Z,-3.2485
2022-12-16T23:00:00Z,-3.4246666666666665
2022-12-17T00:00:00Z,-3.6223333333333336
2022-12-17T01:00:00Z,-4.6018333333333334
2022-12-17T02:00:00Z,-4.761333333333333
2022-12-17T03:00:00Z,-5.6
2022-12-17T04:00:00Z,-6.43
2022-12-17T05:00:00Z,-6.6818333333333335
2022-12-17T06:00:00Z,-6.492333333333333
2022-12-17T07:00:00Z,-6.5553333333333335
2022-12-17T08:00:00Z,-5.929333333333333
2022-12-17T09:00:00Z,-5.1884999999999994
2022-12-17T10:00:00Z,-5.004666666666667
2022-12-17T11:00:00Z,-4.6
2022-12-17T12:00:00Z,-4.700333333333333
2022-12-17T13:00:00Z,-4.984666666666667
2022-12-17T14:00:00Z,-5.228833333333333
2022-12-17T15:00:00Z,-5.783666666666667
2022-12-17T16:00:00Z,-5.845666666666666
2022-12-17T17:00:00Z,-5.887166666666666
2022-12-17T18:00:00Z,-6.1786666666666665
2022-12-17T19:00:00Z,-6.3245
2022-12-17T20:00:00Z,-6.1786666666666665
2022-12-17T21:00:00Z,-6.2411666666666665
2022-12-17T22:00:00Z,-6.220333333333333
2022-12-17T23:00:00Z,-6.3036666666666665
2022-12-18T00:00:00Z,-6.639833333333333
2022-12-18T01:00:00Z,-7.063666666666666
2022-12-18T02:00:00Z,-7.277
2022-12-18T03:00:00Z,-7.685666666666666
2022-12-18T04:00:00Z,-8.055
2022-12-18T05:00:00Z,-8.936333333333334
2022-12-18T06:00:00Z,-9.519
2022-12-18T07:00:00Z,-9.7235
2022-12-18T08:00:00Z,-8.7825
2022-12-18T09:00:00Z,-7.4925
2022-12-18T10:00:00Z,NA
2022-12-18T11:00:00Z,-2.839166666666667
2022-12-18T12:00:00Z,-2.1813333333333333
2022-12-18T13:00:00Z,-2.1813333333333333
2022-12-18T14:00:00Z,-2.5091666666666668
2022-12-18T15:00:00Z,-3.0918333333333337
2022-12-18T16:00:00Z,-3.2875
2022-12-18T17:00:00Z,-3.1896666666666667
2022-12-18T18:00:00Z,-3.1113333333333335
2022-12-18T19:00:00Z,-3.0526666666666666
2022-12-18T20:00:00Z,-2.8775000000000004
2022-12-18T21:00:00Z,-2.722166666666667
2022-12-18T22:00:00Z,-2.0285
2022-12-18T23:00:00Z,-0.7056666666666667
2022-12-19T00:00:00Z,-0.8165
2022-12-19T01:00:00Z,-0.8536666666666667
2022-12-19T02:00:00Z,-0.22183333333333333
2022-12-19T03:00:00Z,0.8993333333333333
2022-12-19T04:00:00Z,0.9896666666666666
2022-12-19T05:00:00Z,0.7353333333333333
2022-12-19T06:00:00Z,1.6219999999999999
2022-12-19T07:00:00Z,0.4061666666666667
2022-12-19T08:00:00Z,1.2413333333333334
2022-12-19T09:00:00Z,3.3051666666666666
2022-12-19T10:00:00Z,5.669833333333333
2022-12-19T11:00:00Z,6.457
2022-12-19T12:00:00Z,7.179666666666667
2022-12-19T13:00:00Z,7.2295
2022-12-19T14:00:00Z,6.204166666666667
2022-12-19T15:00:00Z,5.813666666666666
2022-12-19T16:00:00Z,5.3195
2022-12-19T17:00:00Z,5.011
2022-12-19T18:00:00Z,4.925
2022-12-19T19:00:00Z,5.558666666666666
2022-12-19T20:00:00Z,5.678
2022-12-19T21:00:00Z,5.746
2022-12-19T22:00:00Z,6.018
2022-12-19T23:00:00Z,6.153499999999999
2022-12-20T00:00:00Z,6.052
2022-12-20T01:00:00Z,6.1025
2022-12-20T02:00:00Z,6.575833333333334
2022-12-20T03:00:00Z,6.862
2022-12-20T04:00:00Z,6.945666666666667
2022-12-20T05:00:00Z,6.979333333333333
2022-12-20T06:00:00Z,7.414833333333333
2022-12-20T07:00:00Z,7.365
2022-12-20T08:00:00Z,7.8645000000000005
2022-12-20T09:00:00Z,9.353
2022-12-20T10:00:00Z,10.089666666666666
2022-12-20T11:00:00Z,NA
2022-12-20T12:00:00Z,15.251666666666667
2022-12-20T13:00:00Z,14.663833333333333
2022-12-20T14:00:00Z,13.353
2022-12-20T15:00:00Z,11.293333333333333
2022-12-20T16:00:00Z,10.6765
2022-12-20T17:00:00Z,10.073666666666668
2022-12-20T18:00:00Z,9.648333333333333
2022-12-20T19:00:00Z,9.286999999999999
2022-12-20T20:00:00Z,9.320166666666667
2022-12-20T21:00:00Z,9.875166666666667
2022-12-20T22:00:00Z,10.757666666666667
2022-12-20T23:00:00Z,10.709166666666667
2022-12-21T00:00:00Z,9.910333333333334
2022-12-21T01:00:00Z,10.204333333333334
2022-12-21T02:00:00Z,10.1715
2022-12-21T03:00:00Z,9.9265
2022-12-21T04:00:00Z,9.122833333333332
2022-12-21T05:00:00Z,8.925333333333334
2022-12-21T06:00:00Z,9.795666666666667
2022-12-21T07:00:00Z,10.187833333333334
2022-12-21T08:00:00Z,10.024666666666667
2022-12-21T09:00:00Z,11.179166666666667
2022-12-21T10:00:00Z,NA
2022-12-21T11:00:00Z,NA
2022-12-21T12:00:00Z,13.001833333333334
2022-12-21T13:00:00Z,13.2905
2022-12-21T14:00:00Z,12.439166666666667
2022-12-21T15:00:00Z,12.053166666666668
2022-12-21T16:00:00Z,12.085333333333335
2022-12-21T17:00:00Z,11.972333333333333
2022-12-21T18:00:00Z,11.762166666666667
2022-12-21T19:00:00Z,11.843
2022-12-21T20:00:00Z,12.036333333333333
2022-12-21T21:00:00Z,12.9055
2022-12-21T22:00:00Z,12.7125
2022-12-21T23:00:00Z,NA
2022-12-22T00:00:00Z,10.967666666666666
2022-12-22T01:00:00Z,11.276666666666667
2022-12-22T02:00:00Z,12.246333333333334
2022-12-22T03:00:00Z,12.97
2022-12-22T04:00:00Z,NA
2022-12-22T05:00:00Z,NA
2022-12-22T06:00:00Z,NA
2022-12-22T07:00:00Z,12.117166666666666
2022-12-22T08:00:00Z,11.616666666666667
2022-12-22T09:00:00Z,11.7945
2022-12-22T10:00:00Z,12.197833333333334
2022-12-22T11:00:00Z,12.407166666666667
2022-12-22T12:00:00Z,12.696666666666667
2022-12-22T13:00:00Z,11.955833333333334
2022-12-22T14:00:00Z,11.357666666666667
2022-12-22T15:00:00Z,12.0205
2022-12-22T16:00:00Z,12.214166666666667
2022-12-22T17:00:00Z,11.907499999999999
2022-12-22T18:00:00Z,12.423166666666667
2022-12-22T19:00:00Z,10.968166666666667
2022-12-22T20:00:00Z,9.8775
2022-12-22T21:00:00Z,9.958833333333335
2022-12-22T22:00:00Z,11.324166666666667
2022-12-22T23:00:00Z,12.246333333333334
2022-12-23T00:00:00Z,12.777166666666666
2022-12-23T01:00:00Z,13.162166666666668
2022-12-23T02:00:00Z,NA
2022-12-23T03:00:00Z,NA
2022-12-23T04:00:00Z,NA
2022-12-23T05:00:00Z,13.435
2022-12-23T06:00:00Z,NA
2022-12-23T07:00:00Z,13.659
2022-12-23T08:00:00Z,12.680666666666667
2022-12-23T09:00:00Z,13.210333333333335
2022-12-23T10:00:00Z,12.809333333333333
2022-12-23T11:00:00Z,12.985833333333334
2022-12-23T12:00:00Z,13.706833333333334
2022-12-23T13:00:00Z,13.723
2022-12-23T14:00:00Z,13.9785
2022-12-23T15:00:00Z,14.154
2022-12-23T16:00:00Z,13.914833333333334
2022-12-23T17:00:00Z,13.739
2022-12-23T18:00:00Z,NA
2022-12-23T19:00:00Z,NA
2022-12-23T20:00:00Z,13.915
2022-12-23T21:00:00Z,13.290500000000002
2022-12-23T22:00:00Z,13.162333333333335
2022-12-23T23:00:00Z,13.018
2022-12-24T00:00:00Z,NA
2022-12-24T01:00:00Z,12.455333333333334
2022-12-24T02:00:00Z,12.165833333333333
2022-12-24T03:00:00Z,11.552
2022-12-24T04:00:00Z,11.665166666666666
2022-12-24T05:00:00Z,NA
2022-12-24T06:00:00Z,NA
2022-12-24T07:00:00Z,11.228666666666665
2022-12-24T08:00:00Z,11.729833333333334
2022-12-24T09:00:00Z,12.519666666666666
2022-12-24T10:00:00Z,NA
2022-12-24T11:00:00Z,NA
2022-12-24T12:00:00Z,13.338666666666667
2022-12-24T13:00:00Z,13.017833333333334
2022-12-24T14:00:00Z,12.262333333333334
2022-12-24T15:00:00Z,11.762166666666666
2022-12-24T16:00:00Z,10.919666666666666
2022-12-24T17:00:00Z,10.351166666666666
2022-12-24T18:00:00Z,10.351166666666666
2022-12-24T19:00:00Z,NA
2022-12-24T20:00:00Z,9.336500000000001
2022-12-24T21:00:00Z,8.8595
2022-12-24T22:00:00Z,NA
2022-12-24T23:00:00Z,8.843
2022-12-25T00:00:00Z,8.81
2022-12-25T01:00:00Z,9.057
2022-12-25T02:00:00Z,8.941833333333333
2022-12-25T03:00:00Z,9.401666666666667
2022-12-25T04:00:00Z,9.3035
2022-12-25T05:00:00Z,9.449166666666667
2022-12-25T06:00:00Z,7.196666666666667
2022-12-25T07:00:00Z,6.609666666666667
2022-12-25T08:00:00Z,7.1295
2022-12-25T09:00:00Z,9.236166666666666
2022-12-25T10:00:00Z,NA
2022-12-25T11:00:00Z,13.3215
2022-12-25T12:00:00Z,13.9785
2022-12-25T13:00:00Z,14.664666666666667
2022-12-25T14:00:00Z,14.377666666666666
2022-12-25T15:00:00Z,13.354500000000002
2022-12-25T16:00:00Z,14.154166666666667
