date_time,th,origin
2022-12-17 14:00:00,-4.743,H
2022-12-17 15:00:00,-4.8258,H
2022-12-17 16:00:00,-5.3622,H
2022-12-17 17:00:00,-5.2377,H
2022-12-17 18:00:00,-5.6122,H
2022-12-17 19:00:00,-5.7583,H
2022-12-17 20:00:00,-5.9475,H
2022-12-17 21:00:00,-5.6957,H
2022-12-17 22:00:00,-5.7372,H
2022-12-17 23:00:00,-5.8842,H
2022-12-18 00:00:00,-6.074,H
2022-12-18 01:00:00,-6.3282,H
2022-12-18 02:00:00,-6.9057,H
2022-12-18 03:00:00,-7.1867,H
2022-12-18 04:00:00,-7.3167,H
2022-12-18 05:00:00,-7.4252,H
2022-12-18 06:00:00,-7.71,H
2022-12-18 07:00:00,-8.1745,H
2022-12-18 08:00:00,-8.6425,H
2022-12-18 09:00:00,-8.3302,H
2022-12-18 10:00:00,-6.5262,H
2022-12-18 11:00:00,-4.6942,H
2022-12-18 12:00:00,-3.3942,H
2022-12-18 13:00:00,-2.2877,H
2022-12-18 14:00:00,-2.6977,H
2022-12-18 15:00:00,-2.4628,H
2022-12-18 16:00:00,-2.855,H
2022-12-18 17:00:00,-2.9933,H
2022-12-18 18:00:00,-2.9342,H
2022-12-18 19:00:00,-2.855,H
2022-12-18 20:00:00,-2.6193,H
2022-12-18 21:00:00,-2.404,H
2022-12-18 22:00:00,-2.2483,H
2022-12-18 23:00:00,-1.7063,H
2022-12-19 00:00:00,-1.151,H
2022-12-19 01:00:00,-0.9035,H
2022-12-19 02:00:00,-0.6387,H
2022-12-19 03:00:00,-0.2623,H
2022-12-19 04:00:00,0.2417,H
2022-12-19 05:00:00,0.483,H
2022-12-19 06:00:00,0.5385,H
2022-12-19 07:00:00,0.6125,H
2022-12-19 08:00:00,0.6495,H
2022-12-19 09:00:00,0.9253,H
2022-12-19 10:00:00,1.746,H
2022-12-19 11:00:00,4.2633,H
2022-12-19 12:00:00,5.0537,H
2022-12-19 13:00:00,5.5018,H
2022-12-19 14:00:00,5.6915,H
2022-12-19 15:00:00,5.2097,H
2022-12-19 16:00:00,5.2955,H
2022-12-19 17:00:00,4.6553,H
2022-12-19 18:00:00,4.4638,H
2022-12-19 19:00:00,3.3578,H
2022-12-19 20:00:00,5.6008,H
2022-12-19 21:00:00,6.5263,H
2022-12-19 22:00:00,7.7257,H
