"","id","dttm","temp","lux"
"227",509,2021-12-14 13:40:00,5.86,5511.1
"228",510,2021-12-14 13:50:00,6.166,7577.8
"229",511,2021-12-14 14:00:00,6.37,5166.7
"230",512,2021-12-14 14:10:00,6.573,5338.9
"231",513,2021-12-14 14:20:00,6.573,5166.7
"232",514,2021-12-14 14:30:00,6.37,4822.3
"233",515,2021-12-14 14:40:00,6.166,4305.6
"234",516,2021-12-14 14:50:00,6.166,4650
"235",517,2021-12-14 15:00:00,5.86,4822.3
"236",518,2021-12-14 15:10:00,5.552,4305.6
"237",519,2021-12-14 15:20:00,5.757,3272.2
"238",520,2021-12-14 15:30:00,5.45,2669.5
"239",521,2021-12-14 15:40:00,5.244,2755.6
"240",522,2021-12-14 15:50:00,5.244,2325
"241",523,2021-12-14 16:00:00,5.141,1550
"242",524,2021-12-14 16:10:00,4.934,1065.6
"243",525,2021-12-14 16:20:00,4.623,635.1
"244",526,2021-12-14 16:30:00,4.415,258.3
"245",527,2021-12-14 16:40:00,4.415,139.9
"246",528,2021-12-14 16:50:00,4.519,150.7
"247",529,2021-12-14 17:00:00,4.519,10.8
"248",530,2021-12-14 17:10:00,4.207,0
"249",531,2021-12-14 17:20:00,4.207,0
"250",532,2021-12-14 17:30:00,3.998,0
"251",533,2021-12-14 17:40:00,5.141,0
"252",534,2021-12-14 17:50:00,4.519,0
"253",535,2021-12-14 18:00:00,4.311,0
"254",536,2021-12-14 18:10:00,4.207,0
"255",537,2021-12-14 18:20:00,3.998,0
"256",538,2021-12-14 18:30:00,3.683,0
"257",539,2021-12-14 18:40:00,3.578,0
"258",540,2021-12-14 18:50:00,3.367,0
"259",541,2021-12-14 19:00:00,3.261,0
"260",542,2021-12-14 19:10:00,3.367,0
"261",543,2021-12-14 19:20:00,3.578,0
"262",544,2021-12-14 19:30:00,3.683,0
"263",545,2021-12-14 19:40:00,3.683,0
"264",546,2021-12-14 19:50:00,3.683,0
"265",547,2021-12-14 20:00:00,3.683,0
"266",548,2021-12-14 20:10:00,3.683,0
"267",549,2021-12-14 20:20:00,3.788,0
"268",550,2021-12-14 20:30:00,3.893,0
"269",551,2021-12-14 20:40:00,3.893,0
"270",552,2021-12-14 20:50:00,3.998,0
"271",553,2021-12-14 21:00:00,3.998,0
"272",554,2021-12-14 21:10:00,3.893,0
"273",555,2021-12-14 21:20:00,3.998,0
"274",556,2021-12-14 21:30:00,3.998,0
"275",557,2021-12-14 21:40:00,3.998,0
