"Plot-Titel: 10350056"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10350056, SEN S/N: 10350056)","Intensität, Lux (LGR S/N: 10350056, SEN S/N: 10350056)","Batterie defekt (LGR S/N: 10350056)","Koppler verbunden (LGR S/N: 10350056)","Host verbunden (LGR S/N: 10350056)","Angehalten (LGR S/N: 10350056)","Dateiende (LGR S/N: 10350056)"
216,12.01.22 12:50:00 PM,5.552,1463.9,,,,,
217,12.01.22 01:00:00 PM,5.552,1377.8,,,,,
218,12.01.22 01:10:00 PM,5.552,1367.0,,,,,
219,12.01.22 01:20:00 PM,5.450,1313.2,,,,,
220,12.01.22 01:30:00 PM,5.552,1205.6,,,,,
221,12.01.22 01:40:00 PM,5.655,1119.5,,,,,
222,12.01.22 01:50:00 PM,5.757,1076.4,,,,,
223,12.01.22 02:00:00 PM,5.655,893.4,,,,,
224,12.01.22 02:10:00 PM,5.655,1184.0,,,,,
225,12.01.22 02:20:00 PM,5.655,1377.8,,,,,
226,12.01.22 02:30:00 PM,5.860,1808.3,,,,,
227,12.01.22 02:40:00 PM,5.757,828.8,,,,,
228,12.01.22 02:50:00 PM,5.552,570.5,,,,,
229,12.01.22 03:00:00 PM,5.450,559.7,,,,,
230,12.01.22 03:10:00 PM,5.450,398.3,,,,,
231,12.01.22 03:20:00 PM,5.244,269.1,,,,,
232,12.01.22 03:30:00 PM,5.141,236.8,,,,,
233,12.01.22 03:40:00 PM,5.141,172.2,,,,,
234,12.01.22 03:50:00 PM,5.244,64.6,,,,,
235,12.01.22 04:00:00 PM,5.037,96.9,,,,,
236,12.01.22 04:10:00 PM,4.831,107.6,,,,,
237,12.01.22 04:20:00 PM,4.831,32.3,,,,,
238,12.01.22 04:30:00 PM,4.831,0.0,,,,,
239,12.01.22 04:40:00 PM,4.831,0.0,,,,,
240,12.01.22 04:50:00 PM,4.934,0.0,,,,,
241,12.01.22 05:00:00 PM,4.727,0.0,,,,,
242,12.01.22 05:10:00 PM,4.727,0.0,,,,,
243,12.01.22 05:20:00 PM,4.623,0.0,,,,,
244,12.01.22 05:30:00 PM,4.623,0.0,,,,,
245,12.01.22 05:40:00 PM,4.623,0.0,,,,,
246,12.01.22 05:50:00 PM,4.519,0.0,,,,,
247,12.01.22 06:00:00 PM,4.519,0.0,,,,,
248,12.01.22 06:10:00 PM,4.519,0.0,,,,,
249,12.01.22 06:20:00 PM,4.415,0.0,,,,,
250,12.01.22 06:30:00 PM,4.519,0.0,,,,,
251,12.01.22 06:40:00 PM,4.519,0.0,,,,,
252,12.01.22 06:50:00 PM,4.519,0.0,,,,,
253,12.01.22 07:00:00 PM,4.519,0.0,,,,,
254,12.01.22 07:10:00 PM,4.415,0.0,,,,,
255,12.01.22 07:20:00 PM,4.415,0.0,,,,,
256,12.01.22 07:30:00 PM,4.415,0.0,,,,,
257,12.01.22 07:40:00 PM,4.415,0.0,,,,,
258,12.01.22 07:50:00 PM,4.415,0.0,,,,,
259,12.01.22 08:00:00 PM,4.311,0.0,,,,,
260,12.01.22 08:10:00 PM,4.311,0.0,,,,,
261,12.01.22 08:20:00 PM,4.311,0.0,,,,,
262,12.01.22 08:30:00 PM,4.311,0.0,,,,,
263,12.01.22 08:40:00 PM,4.311,0.0,,,,,
264,12.01.22 08:50:00 PM,4.311,0.0,,,,,
265,12.01.22 09:00:00 PM,4.311,0.0,,,,,
266,12.01.22 09:10:00 PM,4.207,0.0,,,,,
267,12.01.22 09:20:00 PM,4.311,0.0,,,,,
268,12.01.22 09:30:00 PM,4.207,0.0,,,,,
269,12.01.22 09:40:00 PM,4.311,0.0,,,,,
270,12.01.22 09:50:00 PM,4.311,0.0,,,,,
271,12.01.22 10:00:00 PM,4.311,0.0,,,,,
272,12.01.22 10:10:00 PM,4.311,0.0,,,,,
273,12.01.22 10:20:00 PM,4.207,0.0,,,,,
274,12.01.22 10:30:00 PM,4.311,0.0,,,,,
275,12.01.22 10:40:00 PM,4.311,0.0,,,,,
276,12.01.22 10:50:00 PM,4.311,0.0,,,,,
277,12.01.22 11:00:00 PM,4.311,0.0,,,,,
278,12.01.22 11:10:00 PM,4.207,0.0,,,,,
279,12.01.22 11:20:00 PM,4.207,0.0,,,,,
280,12.01.22 11:30:00 PM,4.207,0.0,,,,,
281,12.01.22 11:40:00 PM,4.311,0.0,,,,,
282,12.01.22 11:50:00 PM,4.311,0.0,,,,,
283,12.02.22 12:00:00 AM,4.415,0.0,,,,,
284,12.02.22 12:10:00 AM,4.415,0.0,,,,,
285,12.02.22 12:20:00 AM,4.415,0.0,,,,,
286,12.02.22 12:30:00 AM,4.311,0.0,,,,,
287,12.02.22 12:40:00 AM,4.415,0.0,,,,,
288,12.02.22 12:50:00 AM,4.415,0.0,,,,,
289,12.02.22 01:00:00 AM,4.415,0.0,,,,,
290,12.02.22 01:10:00 AM,4.415,0.0,,,,,
291,12.02.22 01:20:00 AM,4.311,0.0,,,,,
292,12.02.22 01:30:00 AM,4.311,0.0,,,,,
293,12.02.22 01:40:00 AM,4.415,0.0,,,,,
294,12.02.22 01:50:00 AM,4.415,0.0,,,,,
295,12.02.22 02:00:00 AM,4.311,0.0,,,,,
296,12.02.22 02:10:00 AM,4.311,0.0,,,,,
297,12.02.22 02:20:00 AM,4.311,0.0,,,,,
298,12.02.22 02:30:00 AM,4.311,0.0,,,,,
299,12.02.22 02:40:00 AM,4.207,0.0,,,,,
300,12.02.22 02:50:00 AM,4.207,0.0,,,,,
301,12.02.22 03:00:00 AM,4.311,0.0,,,,,
302,12.02.22 03:10:00 AM,4.311,0.0,,,,,
303,12.02.22 03:20:00 AM,4.311,0.0,,,,,
304,12.02.22 03:30:00 AM,4.311,0.0,,,,,
305,12.02.22 03:40:00 AM,4.311,0.0,,,,,
306,12.02.22 03:50:00 AM,4.311,0.0,,,,,
307,12.02.22 04:00:00 AM,4.311,0.0,,,,,
308,12.02.22 04:10:00 AM,4.311,0.0,,,,,
309,12.02.22 04:20:00 AM,4.311,0.0,,,,,
310,12.02.22 04:30:00 AM,4.311,0.0,,,,,
311,12.02.22 04:40:00 AM,4.311,0.0,,,,,
312,12.02.22 04:50:00 AM,4.311,0.0,,,,,
313,12.02.22 05:00:00 AM,4.311,0.0,,,,,
314,12.02.22 05:10:00 AM,4.207,0.0,,,,,
315,12.02.22 05:20:00 AM,4.311,0.0,,,,,
316,12.02.22 05:30:00 AM,4.207,0.0,,,,,
317,12.02.22 05:40:00 AM,4.207,0.0,,,,,
318,12.02.22 05:50:00 AM,4.311,0.0,,,,,
319,12.02.22 06:00:00 AM,4.207,0.0,,,,,
320,12.02.22 06:10:00 AM,4.311,0.0,,,,,
321,12.02.22 06:20:00 AM,4.415,0.0,,,,,
322,12.02.22 06:30:00 AM,4.415,0.0,,,,,
323,12.02.22 06:40:00 AM,4.415,0.0,,,,,
324,12.02.22 06:50:00 AM,4.519,0.0,,,,,
325,12.02.22 07:00:00 AM,4.519,0.0,,,,,
326,12.02.22 07:10:00 AM,4.519,0.0,,,,,
327,12.02.22 07:20:00 AM,4.519,0.0,,,,,
328,12.02.22 07:30:00 AM,4.519,0.0,,,,,
329,12.02.22 07:40:00 AM,4.519,0.0,,,,,
330,12.02.22 07:50:00 AM,4.519,0.0,,,,,
331,12.02.22 08:00:00 AM,4.519,0.0,,,,,
332,12.02.22 08:10:00 AM,4.519,0.0,,,,,
333,12.02.22 08:20:00 AM,4.519,32.3,,,,,
334,12.02.22 08:30:00 AM,4.623,53.8,,,,,
335,12.02.22 08:40:00 AM,4.623,86.1,,,,,
336,12.02.22 08:50:00 AM,4.623,118.4,,,,,
337,12.02.22 09:00:00 AM,4.623,150.7,,,,,
338,12.02.22 09:10:00 AM,4.623,215.3,,,,,
339,12.02.22 09:20:00 AM,4.623,236.8,,,,,
340,12.02.22 09:30:00 AM,4.519,279.9,,,,,
341,12.02.22 09:40:00 AM,4.519,344.4,,,,,
342,12.02.22 09:50:00 AM,4.623,376.7,,,,,
343,12.02.22 10:00:00 AM,4.623,462.9,,,,,
344,12.02.22 10:10:00 AM,4.727,516.7,,,,,
345,12.02.22 10:20:00 AM,4.727,678.1,,,,,
346,12.02.22 10:30:00 AM,4.831,893.4,,,,,
347,12.02.22 10:40:00 AM,4.831,796.5,,,,,
348,12.02.22 10:50:00 AM,4.934,1141.0,,,,,
349,12.02.22 11:00:00 AM,5.037,1173.3,,,,,
350,12.02.22 11:10:00 AM,5.141,1227.1,,,,,
351,12.02.22 11:20:00 AM,5.244,1345.5,,,,,
352,12.02.22 11:30:00 AM,5.244,1291.7,,,,,
353,12.02.22 11:40:00 AM,5.347,1087.2,,,,,
354,12.02.22 11:50:00 AM,5.244,861.1,,,,,
355,12.02.22 12:00:00 PM,5.141,882.6,,,,,
356,12.02.22 12:10:00 PM,5.037,624.3,,,,,
357,12.02.22 12:20:00 PM,5.037,688.9,,,,,
358,12.02.22 12:30:00 PM,5.037,516.7,,,,,
359,12.02.22 12:40:00 PM,5.037,656.6,,,,,
360,12.02.22 12:50:00 PM,5.037,409.0,,,,,
361,12.02.22 01:00:00 PM,4.934,656.6,,,,,
362,12.02.22 01:10:00 PM,4.934,753.5,,,,,
363,12.02.22 01:20:00 PM,5.141,871.9,,,,,
364,12.02.22 01:30:00 PM,5.141,958.0,,,,,
365,12.02.22 01:40:00 PM,5.347,828.8,,,,,
366,12.02.22 01:50:00 PM,5.141,473.6,,,,,
367,12.02.22 02:00:00 PM,5.037,968.8,,,,,
368,12.02.22 02:10:00 PM,5.141,1054.9,,,,,
369,12.02.22 02:20:00 PM,5.347,1097.9,,,,,
370,12.02.22 02:30:00 PM,5.552,1054.9,,,,,
371,12.02.22 02:40:00 PM,5.552,1130.2,,,,,
372,12.02.22 02:50:00 PM,5.655,1108.7,,,,,
373,12.02.22 03:00:00 PM,5.552,1194.8,,,,,
374,12.02.22 03:10:00 PM,5.655,764.2,,,,,
375,12.02.22 03:20:00 PM,5.552,570.5,,,,,
376,12.02.22 03:30:00 PM,5.655,1076.4,,,,,
377,12.02.22 03:40:00 PM,5.655,1011.8,,,,,
378,12.02.22 03:50:00 PM,5.757,775.0,,,,,
379,12.02.22 04:00:00 PM,5.757,592.0,,,,,
380,12.02.22 04:10:00 PM,5.655,462.9,,,,,
381,12.02.22 04:20:00 PM,5.552,366.0,,,,,
382,12.02.22 04:30:00 PM,5.450,96.9,,,,,
383,12.02.22 04:40:00 PM,5.450,10.8,,,,,
384,12.02.22 04:50:00 PM,5.347,0.0,,,,,
385,12.02.22 05:00:00 PM,5.347,0.0,,,,,
386,12.02.22 05:10:00 PM,5.244,0.0,,,,,
387,12.02.22 05:20:00 PM,5.244,0.0,,,,,
388,12.02.22 05:30:00 PM,5.141,0.0,,,,,
389,12.02.22 05:40:00 PM,5.141,0.0,,,,,
390,12.02.22 05:50:00 PM,5.037,0.0,,,,,
391,12.02.22 06:00:00 PM,4.934,0.0,,,,,
392,12.02.22 06:10:00 PM,5.037,0.0,,,,,
393,12.02.22 06:20:00 PM,5.037,0.0,,,,,
394,12.02.22 06:30:00 PM,5.037,0.0,,,,,
395,12.02.22 06:40:00 PM,5.037,0.0,,,,,
396,12.02.22 06:50:00 PM,4.934,0.0,,,,,
397,12.02.22 07:00:00 PM,4.934,0.0,,,,,
398,12.02.22 07:10:00 PM,4.934,0.0,,,,,
399,12.02.22 07:20:00 PM,4.934,0.0,,,,,
400,12.02.22 07:30:00 PM,4.934,0.0,,,,,
401,12.02.22 07:40:00 PM,4.934,0.0,,,,,
402,12.02.22 07:50:00 PM,4.831,0.0,,,,,
403,12.02.22 08:00:00 PM,4.934,0.0,,,,,
404,12.02.22 08:10:00 PM,4.934,0.0,,,,,
405,12.02.22 08:20:00 PM,4.934,0.0,,,,,
406,12.02.22 08:30:00 PM,5.037,0.0,,,,,
407,12.02.22 08:40:00 PM,5.037,0.0,,,,,
408,12.02.22 08:50:00 PM,4.934,0.0,,,,,
409,12.02.22 09:00:00 PM,4.831,0.0,,,,,
