"Plot-Titel: 10349997"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10349997, SEN S/N: 10349997, LBL: CFB045_NW_TEMP)","Intensität, Lux (LGR S/N: 10349997, SEN S/N: 10349997, LBL: CFB045_NW_Light)","Koppler verbunden (LGR S/N: 10349997)","Host verbunden (LGR S/N: 10349997)","Angehalten (LGR S/N: 10349997)","Dateiende (LGR S/N: 10349997)"
207,12.01.22 11:20:00 AM,5.962,775.0,,,,
208,12.01.22 11:30:00 AM,5.860,828.8,,,,
209,12.01.22 11:40:00 AM,6.064,850.4,,,,
210,12.01.22 11:50:00 AM,6.064,839.6,,,,
211,12.01.22 12:00:00 PM,6.064,807.3,,,,
212,12.01.22 12:10:00 PM,5.962,796.5,,,,
213,12.01.22 12:20:00 PM,6.064,785.8,,,,
214,12.01.22 12:30:00 PM,5.860,764.2,,,,
215,12.01.22 12:40:00 PM,5.655,818.1,,,,
216,12.01.22 12:50:00 PM,5.655,1054.9,,,,
217,12.01.22 01:00:00 PM,5.655,1033.3,,,,
218,12.01.22 01:10:00 PM,5.655,904.2,,,,
219,12.01.22 01:20:00 PM,5.757,871.9,,,,
220,12.01.22 01:30:00 PM,5.962,871.9,,,,
221,12.01.22 01:40:00 PM,6.064,818.1,,,,
222,12.01.22 01:50:00 PM,5.962,839.6,,,,
223,12.01.22 02:00:00 PM,5.962,850.4,,,,
224,12.01.22 02:10:00 PM,6.064,1076.4,,,,
225,12.01.22 02:20:00 PM,5.962,1216.3,,,,
226,12.01.22 02:30:00 PM,5.962,958.0,,,,
227,12.01.22 02:40:00 PM,5.757,764.2,,,,
228,12.01.22 02:50:00 PM,5.552,484.4,,,,
229,12.01.22 03:00:00 PM,5.347,376.7,,,,
230,12.01.22 03:10:00 PM,5.347,322.9,,,,
231,12.01.22 03:20:00 PM,5.141,301.4,,,,
232,12.01.22 03:30:00 PM,5.037,247.6,,,,
233,12.01.22 03:40:00 PM,5.037,204.5,,,,
234,12.01.22 03:50:00 PM,5.244,161.5,,,,
235,12.01.22 04:00:00 PM,5.141,118.4,,,,
236,12.01.22 04:10:00 PM,5.037,64.6,,,,
237,12.01.22 04:20:00 PM,4.934,43.1,,,,
238,12.01.22 04:30:00 PM,5.037,21.5,,,,
239,12.01.22 04:40:00 PM,4.934,0.0,,,,
240,12.01.22 04:50:00 PM,4.934,0.0,,,,
241,12.01.22 05:00:00 PM,4.831,0.0,,,,
242,12.01.22 05:10:00 PM,4.831,0.0,,,,
243,12.01.22 05:20:00 PM,4.831,0.0,,,,
244,12.01.22 05:30:00 PM,4.831,0.0,,,,
245,12.01.22 05:40:00 PM,4.727,0.0,,,,
246,12.01.22 05:50:00 PM,4.623,0.0,,,,
247,12.01.22 06:00:00 PM,4.623,0.0,,,,
