"Plot-Titel: 10347327"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347327, SEN S/N: 10347327)","Intensität, Lux (LGR S/N: 10347327, SEN S/N: 10347327)","Koppler verbunden (LGR S/N: 10347327)","Host verbunden (LGR S/N: 10347327)","Angehalten (LGR S/N: 10347327)","Dateiende (LGR S/N: 10347327)"
392,12.02.22 06:10:00 PM,3.788,0.0,,,,
393,12.02.22 06:20:00 PM,3.788,0.0,,,,
394,12.02.22 06:30:00 PM,3.788,0.0,,,,
395,12.02.22 06:40:00 PM,3.893,0.0,,,,
396,12.02.22 06:50:00 PM,3.893,0.0,,,,
397,12.02.22 07:00:00 PM,3.893,0.0,,,,
398,12.02.22 07:10:00 PM,3.893,0.0,,,,
399,12.02.22 07:20:00 PM,3.998,0.0,,,,
400,12.02.22 07:30:00 PM,3.998,0.0,,,,
401,12.02.22 07:40:00 PM,3.998,0.0,,,,
402,12.02.22 07:50:00 PM,3.998,0.0,,,,
403,12.02.22 08:00:00 PM,3.998,0.0,,,,
404,12.02.22 08:10:00 PM,4.102,0.0,,,,
405,12.02.22 08:20:00 PM,4.102,0.0,,,,
406,12.02.22 08:30:00 PM,4.102,0.0,,,,
407,12.02.22 08:40:00 PM,4.102,0.0,,,,
408,12.02.22 08:50:00 PM,4.102,0.0,,,,
409,12.02.22 09:00:00 PM,4.102,0.0,,,,
410,12.02.22 09:10:00 PM,3.998,0.0,,,,
411,12.02.22 09:20:00 PM,3.788,0.0,,,,
412,12.02.22 09:30:00 PM,3.578,0.0,,,,
413,12.02.22 09:40:00 PM,3.578,0.0,,,,
414,12.02.22 09:50:00 PM,3.578,0.0,,,,
415,12.02.22 10:00:00 PM,3.578,0.0,,,,
416,12.02.22 10:10:00 PM,3.683,0.0,,,,
417,12.02.22 10:20:00 PM,3.683,0.0,,,,
418,12.02.22 10:30:00 PM,3.788,0.0,,,,
419,12.02.22 10:40:00 PM,3.788,0.0,,,,
420,12.02.22 10:50:00 PM,3.893,0.0,,,,
421,12.02.22 11:00:00 PM,3.893,0.0,,,,
422,12.02.22 11:10:00 PM,3.788,0.0,,,,
423,12.02.22 11:20:00 PM,3.788,0.0,,,,
424,12.02.22 11:30:00 PM,3.683,0.0,,,,
425,12.02.22 11:40:00 PM,3.578,0.0,,,,
426,12.02.22 11:50:00 PM,3.578,0.0,,,,
427,12.03.22 12:00:00 AM,3.578,0.0,,,,
428,12.03.22 12:10:00 AM,3.578,0.0,,,,
429,12.03.22 12:20:00 AM,3.472,0.0,,,,
430,12.03.22 12:30:00 AM,3.261,0.0,,,,
431,12.03.22 12:40:00 AM,3.049,0.0,,,,
432,12.03.22 12:50:00 AM,2.837,0.0,,,,
433,12.03.22 01:00:00 AM,2.517,0.0,,,,
434,12.03.22 01:10:00 AM,2.410,0.0,,,,
435,12.03.22 01:20:00 AM,2.517,0.0,,,,
436,12.03.22 01:30:00 AM,2.517,0.0,,,,
437,12.03.22 01:40:00 AM,2.517,0.0,,,,
438,12.03.22 01:50:00 AM,2.410,0.0,,,,
439,12.03.22 02:00:00 AM,2.410,0.0,,,,
440,12.03.22 02:10:00 AM,2.410,0.0,,,,
441,12.03.22 02:20:00 AM,2.410,0.0,,,,
442,12.03.22 02:30:00 AM,2.410,0.0,,,,
443,12.03.22 02:40:00 AM,2.410,0.0,,,,
444,12.03.22 02:50:00 AM,2.517,0.0,,,,
445,12.03.22 03:00:00 AM,2.517,0.0,,,,
446,12.03.22 03:10:00 AM,2.410,0.0,,,,
447,12.03.22 03:20:00 AM,2.410,0.0,,,,
448,12.03.22 03:30:00 AM,2.303,0.0,,,,
449,12.03.22 03:40:00 AM,2.303,0.0,,,,
450,12.03.22 03:50:00 AM,2.303,0.0,,,,
451,12.03.22 04:00:00 AM,2.303,0.0,,,,
452,12.03.22 04:10:00 AM,2.303,0.0,,,,
453,12.03.22 04:20:00 AM,2.303,0.0,,,,
454,12.03.22 04:30:00 AM,2.303,0.0,,,,
455,12.03.22 04:40:00 AM,2.303,0.0,,,,
456,12.03.22 04:50:00 AM,2.303,0.0,,,,
