"Plot-Titel: 10760810"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10760810, SEN S/N: 10760810)","Intensität, Lux (LGR S/N: 10760810, SEN S/N: 10760810)","Koppler verbunden (LGR S/N: 10760810)","Koppler abgetrennt (LGR S/N: 10760810)","Host verbunden (LGR S/N: 10760810)","Angehalten (LGR S/N: 10760810)","Dateiende (LGR S/N: 10760810)"
309,12.02.22 04:20:00 AM,4.623,0.0,,,,,
310,12.02.22 04:30:00 AM,4.519,0.0,,,,,
311,12.02.22 04:40:00 AM,4.519,0.0,,,,,
312,12.02.22 04:50:00 AM,4.519,0.0,,,,,
313,12.02.22 05:00:00 AM,4.519,0.0,,,,,
314,12.02.22 05:10:00 AM,4.623,0.0,,,,,
315,12.02.22 05:20:00 AM,4.623,0.0,,,,,
316,12.02.22 05:30:00 AM,4.727,0.0,,,,,
317,12.02.22 05:40:00 AM,4.831,0.0,,,,,
318,12.02.22 05:50:00 AM,4.831,0.0,,,,,
319,12.02.22 06:00:00 AM,4.831,0.0,,,,,
320,12.02.22 06:10:00 AM,4.831,0.0,,,,,
321,12.02.22 06:20:00 AM,4.727,0.0,,,,,
322,12.02.22 06:30:00 AM,4.623,0.0,,,,,
323,12.02.22 06:40:00 AM,4.623,0.0,,,,,
324,12.02.22 06:50:00 AM,4.623,0.0,,,,,
325,12.02.22 07:00:00 AM,4.623,0.0,,,,,
326,12.02.22 07:10:00 AM,4.623,0.0,,,,,
327,12.02.22 07:20:00 AM,4.727,0.0,,,,,
328,12.02.22 07:30:00 AM,4.727,0.0,,,,,
329,12.02.22 07:40:00 AM,4.727,0.0,,,,,
330,12.02.22 07:50:00 AM,4.623,0.0,,,,,
331,12.02.22 08:00:00 AM,4.623,0.0,,,,,
332,12.02.22 08:10:00 AM,4.831,0.0,,,,,
333,12.02.22 08:20:00 AM,4.727,10.8,,,,,
334,12.02.22 08:30:00 AM,4.623,32.3,,,,,
335,12.02.22 08:40:00 AM,4.623,43.1,,,,,
336,12.02.22 08:50:00 AM,4.623,43.1,,,,,
337,12.02.22 09:00:00 AM,4.623,75.3,,,,,
338,12.02.22 09:10:00 AM,4.727,86.1,,,,,
339,12.02.22 09:20:00 AM,4.623,118.4,,,,,
340,12.02.22 09:30:00 AM,4.623,150.7,,,,,
341,12.02.22 09:40:00 AM,4.623,183.0,,,,,
342,12.02.22 09:50:00 AM,4.623,236.8,,,,,
343,12.02.22 10:00:00 AM,4.727,301.4,,,,,
344,12.02.22 10:10:00 AM,4.623,322.9,,,,,
345,12.02.22 10:20:00 AM,4.623,322.9,,,,,
346,12.02.22 10:30:00 AM,4.727,322.9,,,,,
347,12.02.22 10:40:00 AM,4.831,312.2,,,,,
348,12.02.22 10:50:00 AM,4.831,398.3,,,,,
349,12.02.22 11:00:00 AM,4.727,430.6,,,,,
350,12.02.22 11:10:00 AM,4.831,495.1,,,,,
351,12.02.22 11:20:00 AM,4.934,462.9,,,,,
352,12.02.22 11:30:00 AM,5.037,656.6,,,,,
353,12.02.22 11:40:00 AM,5.037,559.7,,,,,
354,12.02.22 11:50:00 AM,5.037,516.7,,,,,
355,12.02.22 12:00:00 PM,5.037,366.0,,,,,
356,12.02.22 12:10:00 PM,5.037,301.4,,,,,
357,12.02.22 12:20:00 PM,4.934,312.2,,,,,
358,12.02.22 12:30:00 PM,4.934,333.7,,,,,
359,12.02.22 12:40:00 PM,5.037,355.2,,,,,
360,12.02.22 12:50:00 PM,5.037,279.9,,,,,
361,12.02.22 01:00:00 PM,5.037,409.0,,,,,
362,12.02.22 01:10:00 PM,5.141,419.8,,,,,
363,12.02.22 01:20:00 PM,5.141,430.6,,,,,
364,12.02.22 01:30:00 PM,5.244,592.0,,,,,
365,12.02.22 01:40:00 PM,5.244,581.3,,,,,
366,12.02.22 01:50:00 PM,5.244,699.7,,,,,
367,12.02.22 02:00:00 PM,5.450,656.6,,,,,
368,12.02.22 02:10:00 PM,5.552,624.3,,,,,
369,12.02.22 02:20:00 PM,5.552,430.6,,,,,
370,12.02.22 02:30:00 PM,5.450,344.4,,,,,
371,12.02.22 02:40:00 PM,5.450,398.3,,,,,
372,12.02.22 02:50:00 PM,5.552,516.7,,,,,
373,12.02.22 03:00:00 PM,5.655,409.0,,,,,
374,12.02.22 03:10:00 PM,5.757,333.7,,,,,
375,12.02.22 03:20:00 PM,5.962,419.8,,,,,
376,12.02.22 03:30:00 PM,5.962,592.0,,,,,
377,12.02.22 03:40:00 PM,5.962,602.8,,,,,
378,12.02.22 03:50:00 PM,6.064,441.3,,,,,
379,12.02.22 04:00:00 PM,6.064,333.7,,,,,
380,12.02.22 04:10:00 PM,5.962,269.1,,,,,
381,12.02.22 04:20:00 PM,5.860,258.3,,,,,
382,12.02.22 04:30:00 PM,5.757,118.4,,,,,
383,12.02.22 04:40:00 PM,5.757,0.0,,,,,
384,12.02.22 04:50:00 PM,5.450,0.0,,,,,
385,12.02.22 05:00:00 PM,5.347,0.0,,,,,
386,12.02.22 05:10:00 PM,5.244,0.0,,,,,
387,12.02.22 05:20:00 PM,5.141,0.0,,,,,
388,12.02.22 05:30:00 PM,5.037,0.0,,,,,
389,12.02.22 05:40:00 PM,5.037,0.0,,,,,
390,12.02.22 05:50:00 PM,5.037,0.0,,,,,
391,12.02.22 06:00:00 PM,5.347,0.0,,,,,
392,12.02.22 06:10:00 PM,5.244,0.0,,,,,
393,12.02.22 06:20:00 PM,5.244,0.0,,,,,
394,12.02.22 06:30:00 PM,5.141,0.0,,,,,
395,12.02.22 06:40:00 PM,5.141,0.0,,,,,
396,12.02.22 06:50:00 PM,5.244,0.0,,,,,
397,12.02.22 07:00:00 PM,5.244,0.0,,,,,
398,12.02.22 07:10:00 PM,5.141,0.0,,,,,
399,12.02.22 07:20:00 PM,5.141,0.0,,,,,
400,12.02.22 07:30:00 PM,5.141,0.0,,,,,
401,12.02.22 07:40:00 PM,5.141,0.0,,,,,
402,12.02.22 07:50:00 PM,5.141,0.0,,,,,
403,12.02.22 08:00:00 PM,5.244,0.0,,,,,
404,12.02.22 08:10:00 PM,5.552,0.0,,,,,
405,12.02.22 08:20:00 PM,5.655,0.0,,,,,
406,12.02.22 08:30:00 PM,6.166,0.0,,,,,
407,12.02.22 08:40:00 PM,5.860,0.0,,,,,
408,12.02.22 08:50:00 PM,5.655,0.0,,,,,
409,12.02.22 09:00:00 PM,5.655,0.0,,,,,
410,12.02.22 09:10:00 PM,5.655,0.0,,,,,
411,12.02.22 09:20:00 PM,5.450,0.0,,,,,
412,12.02.22 09:30:00 PM,5.552,0.0,,,,,
413,12.02.22 09:40:00 PM,5.552,0.0,,,,,
414,12.02.22 09:50:00 PM,5.552,0.0,,,,,
415,12.02.22 10:00:00 PM,5.450,0.0,,,,,
416,12.02.22 10:10:00 PM,5.450,0.0,,,,,
417,12.02.22 10:20:00 PM,5.450,0.0,,,,,
418,12.02.22 10:30:00 PM,5.244,0.0,,,,,
419,12.02.22 10:40:00 PM,5.244,0.0,,,,,
420,12.02.22 10:50:00 PM,5.347,0.0,,,,,
421,12.02.22 11:00:00 PM,5.347,0.0,,,,,
422,12.02.22 11:10:00 PM,5.244,0.0,,,,,
423,12.02.22 11:20:00 PM,5.347,0.0,,,,,
424,12.02.22 11:30:00 PM,5.347,0.0,,,,,
425,12.02.22 11:40:00 PM,5.244,0.0,,,,,
426,12.02.22 11:50:00 PM,5.141,0.0,,,,,
427,12.03.22 12:00:00 AM,4.934,0.0,,,,,
428,12.03.22 12:10:00 AM,4.415,0.0,,,,,
429,12.03.22 12:20:00 AM,4.102,0.0,,,,,
430,12.03.22 12:30:00 AM,3.893,0.0,,,,,
431,12.03.22 12:40:00 AM,3.683,0.0,,,,,
432,12.03.22 12:50:00 AM,3.472,0.0,,,,,
433,12.03.22 01:00:00 AM,3.367,0.0,,,,,
434,12.03.22 01:10:00 AM,3.367,0.0,,,,,
435,12.03.22 01:20:00 AM,3.261,0.0,,,,,
436,12.03.22 01:30:00 AM,3.261,0.0,,,,,
437,12.03.22 01:40:00 AM,3.261,0.0,,,,,
438,12.03.22 01:50:00 AM,3.472,0.0,,,,,
