"Plot-Titel: 10347367"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347367, SEN S/N: 10347367)","Intensität, Lux (LGR S/N: 10347367, SEN S/N: 10347367)","Dateiende (LGR S/N: 10347367)"
268,11.30.22 01:44:30 AM,19.948,0.0,
269,11.30.22 01:44:40 AM,19.948,0.0,
270,11.30.22 01:44:50 AM,19.948,0.0,
271,11.30.22 01:45:00 AM,19.948,0.0,
272,11.30.22 01:45:10 AM,19.948,0.0,
273,11.30.22 01:45:20 AM,19.948,0.0,
274,11.30.22 01:45:30 AM,19.948,0.0,
275,11.30.22 01:45:40 AM,19.948,0.0,
276,11.30.22 01:45:50 AM,19.948,0.0,
277,11.30.22 01:46:00 AM,19.948,0.0,
278,11.30.22 01:46:10 AM,19.948,0.0,
279,11.30.22 01:46:20 AM,19.948,0.0,
280,11.30.22 01:46:30 AM,19.948,0.0,
281,11.30.22 01:46:40 AM,19.948,0.0,
282,11.30.22 01:46:50 AM,19.948,0.0,
283,11.30.22 01:47:00 AM,19.948,0.0,
284,11.30.22 01:47:10 AM,19.948,0.0,
285,11.30.22 01:47:20 AM,19.948,0.0,
286,11.30.22 01:47:30 AM,19.948,0.0,
287,11.30.22 01:47:40 AM,19.948,0.0,
288,11.30.22 01:47:50 AM,19.948,0.0,
289,11.30.22 01:48:00 AM,19.948,0.0,
290,11.30.22 01:48:10 AM,19.948,0.0,
291,11.30.22 01:48:20 AM,19.948,0.0,
292,11.30.22 01:48:30 AM,19.948,0.0,
293,11.30.22 01:48:40 AM,19.948,0.0,
294,11.30.22 01:48:50 AM,19.948,0.0,
295,11.30.22 01:49:00 AM,19.948,0.0,
296,11.30.22 01:49:10 AM,19.948,0.0,
297,11.30.22 01:49:20 AM,19.948,0.0,
298,11.30.22 01:49:30 AM,19.948,0.0,
299,11.30.22 01:49:40 AM,19.948,0.0,
300,11.30.22 01:49:50 AM,19.948,0.0,
301,11.30.22 01:50:00 AM,19.948,0.0,
302,11.30.22 01:50:10 AM,19.948,0.0,
303,11.30.22 01:50:20 AM,19.948,0.0,
304,11.30.22 01:50:30 AM,19.948,0.0,
305,11.30.22 01:50:40 AM,19.948,0.0,
306,11.30.22 01:50:50 AM,19.948,0.0,
307,11.30.22 01:51:00 AM,19.948,0.0,
308,11.30.22 01:51:10 AM,19.948,0.0,
309,11.30.22 01:51:20 AM,19.948,0.0,
310,11.30.22 01:51:30 AM,19.948,0.0,
311,11.30.22 01:51:40 AM,19.948,0.0,
312,11.30.22 01:51:50 AM,19.948,0.0,
