date	hr	th	origin
2018-12-27	2	-0.213	H
2018-12-27	3	-0.344	H
2018-12-27	4	-0.306	H
2018-12-27	5	-0.07	R
2018-12-27	6	-0.418	H
2018-12-27	7	-0.606	H
2018-12-27	8	-0.493	H
2018-12-27	9	-0.12	H
2018-12-27	10	0.121	H
2018-12-27	11	0.673	H
2018-12-27	12	0.671	R
2018-12-27	13	1.764	H
2018-12-27	14	1.99	R
2018-12-27	15	1.8	H
2018-12-27	16	1.385	H
2018-12-27	17	0.784	H
2018-12-27	18	0.527	H
2018-12-27	19	0.25	H
2018-12-27	20	0.545	H
2018-12-27	21	0.435	H
2018-12-27	22	0.343	H
2018-12-27	23	0.471	H
2018-12-28	0	0.545	H
2018-12-28	1	0.692	H
2018-12-28	2	0.93	H
2018-12-28	3	0.93	H
2018-12-28	4	0.875	H
2018-12-28	5	0.342	R
2018-12-28	6	0.453	H
2018-12-28	7	0.545	H
2018-12-28	8	0.526	H
2018-12-28	9	0.836	R
2018-12-28	10	2.649	R
2018-12-28	11	2.731	R
2018-12-28	12	3.049	H
2018-12-28	13	2.978	H
2018-12-28	14	3.367	H
2018-12-28	15	3.472	H
2018-12-28	16	2.814	R
2018-12-28	17	2.801	H
2018-12-28	18	2.535	H
2018-12-28	19	2.649	R
2018-12-28	20	2.517	H
2018-12-28	21	2.402	R
2018-12-28	22	2.357	H
2018-12-28	23	2.141	H
2018-12-29	0	2.195	H
2018-12-29	1	2.231	H
2018-12-29	2	2.249	H
2018-12-29	3	2.231	H
2018-12-29	4	2.249	H
2018-12-29	5	1.836	H
2018-12-29	6	1.998	H
2018-12-29	7	1.782	H
2018-12-29	8	2.567	R
2018-12-29	9	2.249	H
2018-12-29	10	2.481	H
2018-12-29	11	3.119	H
2018-12-29	12	3.77	H
2018-12-29	13	3.963	H
2018-12-29	14	3.391	R
2018-12-29	15	3.12	H
2018-12-29	16	2.836	H
2018-12-29	17	2.766	H
2018-12-29	18	2.624	H
2018-12-29	19	2.481	H
2018-12-29	20	2.57	H
2018-12-29	21	2.677	H
2018-12-29	22	2.588	H
2018-12-29	23	2.695	H
2018-12-30	0	2.819	H
2018-12-30	1	2.943	H
2018-12-30	2	3.243	H
2018-12-30	3	3.279	H
2018-12-30	4	3.595	H
2018-12-30	5	3.805	H
2018-12-30	6	4.033	H
2018-12-30	7	4.627	R
2018-12-30	8	4.544	R
2018-12-30	9	4.311	H
2018-12-30	10	4.847	H
2018-12-30	11	5.347	H
2018-12-30	12	6.047	H
2018-12-30	13	6.387	H
2018-12-30	14	6.027	R
2018-12-30	15	6.013	H
2018-12-30	16	5.808	H
2018-12-30	17	5.296	H
2018-12-30	18	5.02	H
2018-12-30	19	5.037	H
2018-12-30	20	5.175	H
2018-12-30	21	5.313	H
2018-12-30	22	5.175	H
2018-12-30	23	5.02	H
2018-12-31	0	5.286	R
2018-12-31	1	5.399	H
2018-12-31	2	5.227	H
2018-12-31	3	5.106	H
2018-12-31	4	5.296	H
2018-12-31	5	5.364	H
2018-12-31	6	5.501	H
2018-12-31	7	5.586	H
2018-12-31	8	5.672	H
2018-12-31	9	6.013	H
2018-12-31	10	6.606	H
2018-12-31	11	7.129	H
2018-12-31	12	7.799	H
2018-12-31	13	8.265	H
2018-12-31	14	8.299	H
2018-12-31	15	8.199	H
2018-12-31	16	7.832	H
2018-12-31	17	7.481	H
2018-12-31	18	7.397	H
2018-12-31	19	7.414	H
2018-12-31	20	7.213	H
2018-12-31	21	7.162	H
2018-12-31	22	6.894	H
2018-12-31	23	6.91	H
2019-01-01	0	6.944	H
2019-01-01	1	6.439	R
2019-01-01	2	7.012	H
2019-01-01	3	6.522	R
2019-01-01	4	6.775	H
2019-01-01	5	6.843	H
2019-01-01	6	6.928	H
2019-01-01	7	6.928	H
2019-01-01	8	6.505	H
2019-01-01	9	6.843	H
2019-01-01	10	6.742	H
2019-01-01	11	6.961	H
2019-01-01	12	6.792	H
2019-01-01	13	7.112	H
2019-01-01	14	7.364	H
2019-01-01	15	7.246	H
2019-01-01	16	7.112	H
2019-01-01	17	6.911	H
2019-01-01	18	6.911	H
2019-01-01	19	6.843	H
2019-01-01	20	6.64	H
2019-01-01	21	6.285	H
2019-01-01	22	6.047	H
2019-01-01	23	5.928	H
2019-01-02	0	5.911	H
2019-01-02	1	5.774	H
2019-01-02	2	5.368	R
2019-01-02	3	5.21	H
2019-01-02	4	4.813	H
2019-01-02	5	4.311	H
2019-01-02	6	4.067	H
2019-01-02	7	3.595	H
2019-01-02	8	3.578	H
2019-01-02	9	4.132	R
2019-01-02	10	4.865	H
2019-01-02	11	5.615	R
2019-01-02	12	5.698	R
2019-01-02	13	6.691	H
2019-01-02	14	6.192	R
2019-01-02	15	5.638	H
2019-01-02	16	4.727	H
2019-01-02	17	4.692	H
2019-01-02	18	4.606	H
2019-01-02	19	4.102	H
2019-01-02	20	3.77	H
2019-01-02	21	3.648	H
2019-01-02	22	2.765	H
2019-01-02	23	1.474	H
2019-01-03	0	0.564	H
2019-01-03	1	0.102	H
2019-01-03	2	0.065	H
2019-01-03	3	-0.306	H
2019-01-03	4	-0.812	H
2019-01-03	5	-1.209	H
2019-01-03	6	-1.475	H
2019-01-03	7	-1.608	H
2019-01-03	8	-1.761	H
2019-01-03	9	0.342	R
2019-01-03	10	1.743	R
2019-01-03	11	3.473	R
2019-01-03	12	2.979	R
2019-01-03	13	3.555	R
2019-01-03	14	4.12	H
2019-01-03	15	3.454	H
2019-01-03	16	3.014	H
2019-01-03	17	2.659	H
2019-01-03	18	2.748	H
2019-01-03	19	2.517	H
2019-01-03	20	2.446	H
2019-01-03	21	2.463	H
2019-01-03	22	1.907	R
2019-01-03	23	1.818	H
2019-01-04	0	1.99	R
2019-01-04	1	1.728	H
2019-01-04	2	1.674	H
2019-01-04	3	1.439	H
2019-01-04	4	0.93	H
2019-01-04	5	0.857	H
2019-01-04	6	0.453	H
2019-01-04	7	-0.12	H
2019-01-04	8	-0.12	H
2019-01-04	9	1.495	R
2019-01-04	10	2.814	R
2019-01-04	11	3.473	R
2019-01-04	12	4.05	R
2019-01-04	13	4.462	R
2019-01-04	14	4.462	R
2019-01-04	15	4.415	H
2019-01-04	16	3.542	H
2019-01-04	17	2.819	H
2019-01-04	18	2.535	H
2019-01-04	19	2.356	H
2019-01-04	20	2.428	H
2019-01-04	21	2.41	H
2019-01-04	22	2.659	H
2019-01-04	23	2.925	H
2019-01-05	0	2.819	H
