Tag;Stunde;AVG_TA200
29.12.2021;13:00;8,93
29.12.2021;14:00;9,22
29.12.2021;15:00;11,1
29.12.2021;16:00;11,88
29.12.2021;17:00;12,26
29.12.2021;18:00;12,93
29.12.2021;19:00;13,23
29.12.2021;20:00;13,78
29.12.2021;21:00;13,81
29.12.2021;22:00;13,79
29.12.2021;23:00;13,8
30.12.2021;00:00;13,68
30.12.2021;01:00;13,46
30.12.2021;02:00;13,64
30.12.2021;03:00;13,75
30.12.2021;04:00;13,91
30.12.2021;05:00;14,01
30.12.2021;06:00;13,65
30.12.2021;07:00;13,87
30.12.2021;08:00;14,05
30.12.2021;09:00;14,15
30.12.2021;10:00;14,45
30.12.2021;11:00;14,85
30.12.2021;12:00;15,34
30.12.2021;13:00;15,37
30.12.2021;14:00;15,36
30.12.2021;15:00;14,91
30.12.2021;16:00;14,66
30.12.2021;17:00;14,3
30.12.2021;18:00;14,55
30.12.2021;19:00;14,42
30.12.2021;20:00;13,66
30.12.2021;21:00;12,16
30.12.2021;22:00;10,81
30.12.2021;23:00;10,61
31.12.2021;00:00;9,11
31.12.2021;01:00;9,04
31.12.2021;02:00;8,38
31.12.2021;03:00;7,58
31.12.2021;04:00;7,93
31.12.2021;05:00;7,13
31.12.2021;06:00;7,04
31.12.2021;07:00;6,28
31.12.2021;08:00;6,26
31.12.2021;09:00;6,01
31.12.2021;10:00;7,89
31.12.2021;11:00;10,2
31.12.2021;12:00;11,83
31.12.2021;13:00;12,66
31.12.2021;14:00;16,07
31.12.2021;15:00;16,55
31.12.2021;16:00;15,58
31.12.2021;17:00;14,75
31.12.2021;18:00;14,48
31.12.2021;19:00;13,7
31.12.2021;20:00;14,19
31.12.2021;21:00;13,68
31.12.2021;22:00;12,91
31.12.2021;23:00;10,92
01.01.2022;00:00;8,43
01.01.2022;01:00;8,02
01.01.2022;02:00;6,59
01.01.2022;03:00;5,89
01.01.2022;04:00;6,06
01.01.2022;05:00;6,48
01.01.2022;06:00;5,6
01.01.2022;07:00;5,05
01.01.2022;08:00;4,88
01.01.2022;09:00;5,03
01.01.2022;10:00;7,14
01.01.2022;11:00;10,19
01.01.2022;12:00;12,04
01.01.2022;13:00;13,51
01.01.2022;14:00;14,05
01.01.2022;15:00;13,15
01.01.2022;16:00;11,21
01.01.2022;17:00;9,42
01.01.2022;18:00;8,45
01.01.2022;19:00;7,82
01.01.2022;20:00;7,15
01.01.2022;21:00;6,97
01.01.2022;22:00;6,08
01.01.2022;23:00;5,84
02.01.2022;00:00;6
02.01.2022;01:00;5,4
02.01.2022;02:00;5,05
02.01.2022;03:00;5,56
02.01.2022;04:00;5,14
