id	date	time	temp	lux
249	2017-12-15	20:40:00	6.674	0
250	2017-12-15	20:45:00	6.775	0
251	2017-12-15	20:50:00	6.674	0
252	2017-12-15	20:55:00	6.674	0
253	2017-12-15	21:00:00	6.674	0
254	2017-12-15	21:05:00	6.674	0
255	2017-12-15	21:10:00	6.674	0
256	2017-12-15	21:15:00	6.877	0
257	2017-12-15	21:20:00	6.978	0
258	2017-12-15	21:25:00	6.877	0
259	2017-12-15	21:30:00	6.978	0
260	2017-12-15	21:35:00	6.877	0
261	2017-12-15	21:40:00	6.877	0
262	2017-12-15	21:45:00	6.978	0
263	2017-12-15	21:50:00	7.179	0
264	2017-12-15	21:55:00	7.179	0
265	2017-12-15	22:00:00	6.978	0
266	2017-12-15	22:05:00	6.978	0
267	2017-12-15	22:10:00	6.674	0
268	2017-12-15	22:15:00	6.471	0
269	2017-12-15	22:20:00	6.37	0
270	2017-12-15	22:25:00	6.775	0
271	2017-12-15	22:30:00	6.978	0
272	2017-12-15	22:35:00	7.28	0
273	2017-12-15	22:40:00	7.179	0
274	2017-12-15	22:45:00	7.381	0
275	2017-12-15	22:50:00	7.682	0
276	2017-12-15	22:55:00	7.381	0
277	2017-12-15	23:00:00	7.079	0
278	2017-12-15	23:05:00	6.877	0
279	2017-12-15	23:10:00	6.775	0
280	2017-12-15	23:15:00	6.877	0
281	2017-12-15	23:20:00	7.079	0
282	2017-12-15	23:25:00	7.381	0
283	2017-12-15	23:30:00	7.381	0
284	2017-12-15	23:35:00	7.481	0
285	2017-12-15	23:40:00	7.381	0
286	2017-12-15	23:45:00	7.381	0
287	2017-12-15	23:50:00	7.381	0
288	2017-12-15	23:55:00	7.481	0
289	2017-12-16	00:00:00	7.481	0
290	2017-12-16	00:05:00	7.381	0
291	2017-12-16	00:10:00	7.28	0
292	2017-12-16	00:15:00	7.179	0
293	2017-12-16	00:20:00	6.978	0
294	2017-12-16	00:25:00	7.179	0
295	2017-12-16	00:30:00	7.179	0
296	2017-12-16	00:35:00	7.179	0
297	2017-12-16	00:40:00	7.079	0
298	2017-12-16	00:45:00	6.978	0
299	2017-12-16	00:50:00	6.877	0
300	2017-12-16	00:55:00	6.674	0
301	2017-12-16	01:00:00	6.573	0
302	2017-12-16	01:05:00	6.37	0
303	2017-12-16	01:10:00	6.166	0
304	2017-12-16	01:15:00	6.064	0
305	2017-12-16	01:20:00	6.064	0
306	2017-12-16	01:25:00	5.962	0
307	2017-12-16	01:30:00	5.757	0
308	2017-12-16	01:35:00	5.86	0
309	2017-12-16	01:40:00	5.655	0
310	2017-12-16	01:45:00	5.655	0
311	2017-12-16	01:50:00	5.655	0
