"Plot Title: Experiment"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347321, SEN S/N: 10347321)","Intensity, Lux (LGR S/N: 10347321, SEN S/N: 10347321)","Bad Battery (LGR S/N: 10347321)","Coupler Attached (LGR S/N: 10347321)","Host Connected (LGR S/N: 10347321)","Stopped (LGR S/N: 10347321)","End Of File (LGR S/N: 10347321)"
244,12/12/2021 17:30:00,6.370,0.0,,,,,
245,12/12/2021 17:40:00,6.166,0.0,,,,,
246,12/12/2021 17:50:00,6.064,0.0,,,,,
247,12/12/2021 18:00:00,6.064,0.0,,,,,
248,12/12/2021 18:10:00,5.962,0.0,,,,,
249,12/12/2021 18:20:00,6.064,0.0,,,,,
250,12/12/2021 18:30:00,6.064,0.0,,,,,
251,12/12/2021 18:40:00,6.064,0.0,,,,,
252,12/12/2021 18:50:00,6.064,0.0,,,,,
253,12/12/2021 19:00:00,5.962,0.0,,,,,
254,12/12/2021 19:10:00,5.962,0.0,,,,,
255,12/12/2021 19:20:00,5.962,0.0,,,,,
256,12/12/2021 19:30:00,6.064,0.0,,,,,
257,12/12/2021 19:40:00,5.962,0.0,,,,,
258,12/12/2021 19:50:00,5.757,0.0,,,,,
259,12/12/2021 20:00:00,5.655,0.0,,,,,
260,12/12/2021 20:10:00,5.757,0.0,,,,,
261,12/12/2021 20:20:00,5.962,0.0,,,,,
262,12/12/2021 20:30:00,5.962,0.0,,,,,
263,12/12/2021 20:40:00,5.962,0.0,,,,,
264,12/12/2021 20:50:00,6.064,0.0,,,,,
265,12/12/2021 21:00:00,6.064,0.0,,,,,
266,12/12/2021 21:10:00,6.064,0.0,,,,,
267,12/12/2021 21:20:00,6.166,0.0,,,,,
268,12/12/2021 21:30:00,6.166,0.0,,,,,
269,12/12/2021 21:40:00,6.166,0.0,,,,,
270,12/12/2021 21:50:00,5.860,0.0,,,,,
271,12/12/2021 22:00:00,5.757,0.0,,,,,
272,12/12/2021 22:10:00,5.757,0.0,,,,,
273,12/12/2021 22:20:00,5.757,0.0,,,,,
274,12/12/2021 22:30:00,5.757,0.0,,,,,
275,12/12/2021 22:40:00,5.860,0.0,,,,,
276,12/12/2021 22:50:00,5.962,0.0,,,,,
277,12/12/2021 23:00:00,5.860,0.0,,,,,
278,12/12/2021 23:10:00,5.962,0.0,,,,,
279,12/12/2021 23:20:00,5.757,0.0,,,,,
280,12/12/2021 23:30:00,5.757,0.0,,,,,
281,12/12/2021 23:40:00,5.757,0.0,,,,,
282,12/12/2021 23:50:00,5.757,0.0,,,,,
283,13/12/2021 00:00:00,5.655,0.0,,,,,
284,13/12/2021 00:10:00,5.655,0.0,,,,,
285,13/12/2021 00:20:00,5.552,0.0,,,,,
286,13/12/2021 00:30:00,5.552,0.0,,,,,
287,13/12/2021 00:40:00,5.552,0.0,,,,,
288,13/12/2021 00:50:00,5.552,0.0,,,,,
289,13/12/2021 01:00:00,5.552,0.0,,,,,
290,13/12/2021 01:10:00,5.347,0.0,,,,,
291,13/12/2021 01:20:00,5.347,0.0,,,,,
292,13/12/2021 01:30:00,5.347,0.0,,,,,
293,13/12/2021 01:40:00,5.347,0.0,,,,,
294,13/12/2021 01:50:00,5.244,0.0,,,,,
295,13/12/2021 02:00:00,5.037,0.0,,,,,
296,13/12/2021 02:10:00,5.037,0.0,,,,,
297,13/12/2021 02:20:00,5.037,0.0,,,,,
298,13/12/2021 02:30:00,4.934,0.0,,,,,
299,13/12/2021 02:40:00,5.037,0.0,,,,,
300,13/12/2021 02:50:00,5.037,0.0,,,,,
301,13/12/2021 03:00:00,4.934,0.0,,,,,
302,13/12/2021 03:10:00,4.831,0.0,,,,,
303,13/12/2021 03:20:00,4.623,0.0,,,,,
304,13/12/2021 03:30:00,4.519,0.0,,,,,
305,13/12/2021 03:40:00,4.415,0.0,,,,,
306,13/12/2021 03:50:00,4.415,0.0,,,,,
307,13/12/2021 04:00:00,4.311,0.0,,,,,
308,13/12/2021 04:10:00,4.102,0.0,,,,,
309,13/12/2021 04:20:00,4.102,0.0,,,,,
310,13/12/2021 04:30:00,3.998,0.0,,,,,
311,13/12/2021 04:40:00,3.788,0.0,,,,,
312,13/12/2021 04:50:00,3.472,0.0,,,,,
313,13/12/2021 05:00:00,3.472,0.0,,,,,
314,13/12/2021 05:10:00,3.578,0.0,,,,,
315,13/12/2021 05:20:00,3.472,0.0,,,,,
316,13/12/2021 05:30:00,3.155,0.0,,,,,
317,13/12/2021 05:40:00,2.837,0.0,,,,,
318,13/12/2021 05:50:00,2.837,0.0,,,,,
319,13/12/2021 06:00:00,2.943,0.0,,,,,
320,13/12/2021 06:10:00,3.049,0.0,,,,,
321,13/12/2021 06:20:00,3.049,0.0,,,,,
322,13/12/2021 06:30:00,2.943,0.0,,,,,
323,13/12/2021 06:40:00,2.943,0.0,,,,,
324,13/12/2021 06:50:00,3.049,0.0,,,,,
325,13/12/2021 07:00:00,3.049,0.0,,,,,
326,13/12/2021 07:10:00,3.049,0.0,,,,,
327,13/12/2021 07:20:00,2.943,0.0,,,,,
328,13/12/2021 07:30:00,2.730,0.0,,,,,
329,13/12/2021 07:40:00,2.837,0.0,,,,,
330,13/12/2021 07:50:00,2.943,32.3,,,,,
331,13/12/2021 08:00:00,2.837,193.8,,,,,
332,13/12/2021 08:10:00,2.624,430.6,,,,,
333,13/12/2021 08:20:00,2.730,656.6,,,,,
334,13/12/2021 08:30:00,2.624,1463.9,,,,,
335,13/12/2021 08:40:00,2.730,1636.1,,,,,
336,13/12/2021 08:50:00,3.049,2325.0,,,,,
337,13/12/2021 09:00:00,3.261,2755.6,,,,,
338,13/12/2021 09:10:00,3.788,10677.8,,,,,
339,13/12/2021 09:20:00,9.571,66133.8,,,,,
340,13/12/2021 09:30:00,10.063,46844.8,,,,,
341,13/12/2021 09:40:00,11.041,57867.0,,,,,
342,13/12/2021 09:50:00,10.846,52355.9,,,,,
343,13/12/2021 10:00:00,9.768,31689.1,,,,,
344,13/12/2021 10:10:00,8.481,24800.2,,,,,
345,13/12/2021 10:20:00,8.779,26178.0,,,,,
346,13/12/2021 10:30:00,12.690,60622.6,,,,,
347,13/12/2021 10:40:00,11.528,60622.6,,,,,
348,13/12/2021 10:50:00,12.883,104711.8,,,,,
349,13/12/2021 11:00:00,11.625,34444.7,,,,,
350,13/12/2021 11:10:00,10.651,55111.5,,,,,
351,13/12/2021 11:20:00,8.779,24800.2,,,,,
352,13/12/2021 11:30:00,8.680,19289.0,,,,,
353,13/12/2021 11:40:00,11.139,28933.5,,,,,
354,13/12/2021 11:50:00,11.625,88178.4,,,,,
355,13/12/2021 12:00:00,9.472,5166.7,,,,,
356,13/12/2021 12:10:00,8.481,8611.2,,,,,
357,13/12/2021 12:20:00,8.382,4822.3,,,,,
358,13/12/2021 12:30:00,7.682,4477.8,,,,,
359,13/12/2021 12:40:00,7.582,4477.8,,,,,
360,13/12/2021 12:50:00,7.682,4650.0,,,,,
