dttm,th,pred
2021-12-20 21:00:00,-3.198,0.0467063455167715
2021-12-20 22:00:00,-3.792,-0.943314577014434
2021-12-20 23:00:00,-4.272,-1.25089389275228
2021-12-21 00:00:00,-4.555,-1.78915769529352
2021-12-21 01:00:00,-4.860,-2.45237559485326
2021-12-21 02:00:00,-4.901,-2.80801417867515
2021-12-21 03:00:00,-4.434,-3.93260105184167
2021-12-21 04:00:00,-3.534,-5.19175387564349
2021-12-21 05:00:00,-3.494,-5.3263198262788
2021-12-21 06:00:00,-3.533,-5.60506358116623
2021-12-21 07:00:00,-3.832,-5.61467543478303
2021-12-21 08:00:00,-3.892,-5.96070216498812
2021-12-21 09:00:00,-3.792,-5.60506358116623
2021-12-21 10:00:00,-3.040,-4.68232563395268
2021-12-21 11:00:00,-2.319,-3.87492993014082
2021-12-21 12:00:00,-2.223,-3.39433724930043
2021-12-21 13:00:00,-1.934,-2.97141569016088
2021-12-21 14:00:00,-2.261,-2.81762603229196
2021-12-21 15:00:00,-2.591,-2.78879047144154
2021-12-21 16:00:00,-2.668,-2.59655339910538
2021-12-21 17:00:00,-2.416,-2.70228378889027
2021-12-21 18:00:00,-2.203,-2.84646159314238
2021-12-21 19:00:00,-2.261,-3.03869866547854
2021-12-21 20:00:00,-2.513,-3.2309357378147
2021-12-21 21:00:00,-2.494,-3.46162022461808
2021-12-21 22:00:00,-2.962,-3.74036397950551
2021-12-21 23:00:00,-3.021,-4.76883231650395
2021-12-22 00:00:00,-3.119,-5.19175387564349
2021-12-22 01:00:00,-3.613,-5.54739245946538
2021-12-22 02:00:00,-4.455,-6.04720884753939
2021-12-22 03:00:00,-5.372,-6.28750518795958
2021-12-22 04:00:00,-5.745,-6.36440001689404
2021-12-22 05:00:00,-6.058,-6.42207113859489
2021-12-22 06:00:00,-5.828,-7.0468416236874
2021-12-22 07:00:00,-5.683,-7.09490089177144
2021-12-22 08:00:00,-6.500,-7.23907869602356
2021-12-22 09:00:00,-5.291,-6.81615713688401
2021-12-22 10:00:00,-5.124,-5.12447090032584
2021-12-22 11:00:00,-1.077,-3.14442905526343
2021-12-22 12:00:00,-0.400,-1.37584798977079
2021-12-22 13:00:00,0.966,-0.722241943827854
2021-12-22 14:00:00,0.784,-0.164754434053001
2021-12-22 15:00:00,0.231,0.0274826382831559
2021-12-22 16:00:00,-1.405,-0.933702723397626
2021-12-22 17:00:00,-3.257,-2.08712515741456
2021-12-22 18:00:00,-4.293,-2.83684973952557
2021-12-22 19:00:00,-5.105,-3.29821871313235
2021-12-22 20:00:00,-5.558,-3.4808439318517
2021-12-22 21:00:00,-6.141,-4.14406183141144
2021-12-22 22:00:00,-6.226,-4.15367368502825
2021-12-22 23:00:00,-6.605,-4.51892412246694
2021-12-23 00:00:00,-6.711,-4.56698339055098
2021-12-23 01:00:00,-6.754,-4.43241743991567
2021-12-23 02:00:00,-6.626,-4.49008856161652
2021-12-23 03:00:00,-6.373,-4.26901592842994
2021-12-23 04:00:00,-6.141,-3.90376549099124
2021-12-23 05:00:00,-6.500,-3.74997583312232
2021-12-23 06:00:00,-6.500,-3.56735061440297
2021-12-23 07:00:00,-6.058,-1.42390725785482
2021-12-23 08:00:00,-5.332,0.53691087997397
2021-12-23 09:00:00,-3.320,2.86297945524146
2021-12-23 10:00:00,6.237,6.23674007474101
2021-12-23 11:00:00,6.806,7.31326767982348
2021-12-23 12:00:00,8.595,7.37093880152433
2021-12-23 13:00:00,8.794,9.94691557082883
2021-12-23 14:00:00,8.531,8.11105153001853
2021-12-23 15:00:00,8.829,8.1975582125698
2021-12-23 16:00:00,9.604,9.03378947723208
2021-12-23 17:00:00,9.340,8.83194055127912
2021-12-23 18:00:00,9.060,8.85116425851273
2021-12-23 19:00:00,9.357,9.40865176828759
2021-12-23 20:00:00,9.702,9.62972440147417
2021-12-23 21:00:00,9.653,10.687028299323
2021-12-23 22:00:00,9.357,10.0526459606137
2021-12-23 23:00:00,9.751,9.90846815636159
