dttm, th,origin
2021-12-22 19:00:00,-3.494,H
2021-12-22 20:00:00,-4.092,H
2021-12-22 21:00:00,-4.555,H
2021-12-22 22:00:00,-5.003,H
2021-12-22 23:00:00,-5.187,H
2021-12-23 00:00:00,-5.393,H
2021-12-23 01:00:00,-5.351,H
2021-12-23 02:00:00,-5.003,H
2021-12-23 03:00:00,-4.434,H
2021-12-23 04:00:00,-3.514,H
2021-12-23 05:00:00,-3.158,H
2021-12-23 06:00:00,-2.533,H
2021-12-23 07:00:00,-2.261,H
2021-12-23 08:00:00,-2.145,H
2021-12-23 09:00:00,-0.8,H
2021-12-23 10:00:00,6.614,R
2021-12-23 11:00:00,7.849,H
2021-12-23 12:00:00,8.408,R
2021-12-23 13:00:00,10.788,R
2021-12-23 14:00:00,9.324,H
2021-12-23 15:00:00,9.06,H
2021-12-23 16:00:00,10.046,H
2021-12-23 17:00:00,9.702,H
2021-12-23 18:00:00,10.748,H
2021-12-23 19:00:00,10.683,H
2021-12-23 20:00:00,10.618,H
2021-12-23 21:00:00,10.797,H
2021-12-23 22:00:00,10.732,H
2021-12-23 23:00:00,10.846,H
2021-12-24 00:00:00,11.22,H
2021-12-24 01:00:00,10.96,H
2021-12-24 02:00:00,10.537,H
2021-12-24 03:00:00,10.602,H
2021-12-24 04:00:00,10.52,H
2021-12-24 05:00:00,10.373,H
2021-12-24 06:00:00,10.128,H
2021-12-24 07:00:00,9.817,H
2021-12-24 08:00:00,9.307,H
2021-12-24 09:00:00,8.663,H
2021-12-24 10:00:00,8.348,H
2021-12-24 11:00:00,8.63,H
2021-12-24 12:00:00,9.126,H
2021-12-24 13:00:00,9.308,H
2021-12-24 14:00:00,9.324,H
2021-12-24 15:00:00,9.209,H
2021-12-24 16:00:00,9.406,H
2021-12-24 17:00:00,9.784,H
2021-12-24 18:00:00,10.014,H
2021-12-24 19:00:00,10.243,H
2021-12-24 20:00:00,10.128,H
2021-12-24 21:00:00,9.932,H
2021-12-24 22:00:00,9.849,H
2021-12-24 23:00:00,9.768,H
2021-12-25 00:00:00,9.964,H
2021-12-25 01:00:00,10.504,H
2021-12-25 02:00:00,10.879,H
2021-12-25 03:00:00,11.025,H
2021-12-25 04:00:00,10.976,H
2021-12-25 05:00:00,10.846,H
2021-12-25 06:00:00,10.797,H
2021-12-25 07:00:00,10.7,H
2021-12-25 08:00:00,10.716,H
2021-12-25 09:00:00,10.716,H
2021-12-25 10:00:00,10.911,H
2021-12-25 11:00:00,11.236,H
2021-12-25 12:00:00,11.285,H
