,dttm,th,origin
170,2021-12-20 01:00:00,0.361166666666667,H
171,2021-12-20 02:00:00,0.1395,H
172,2021-12-20 03:00:00,0.0653333333333333,H
173,2021-12-20 04:00:00,0.471166666666667,H
174,2021-12-20 05:00:00,0.489666666666667,H
175,2021-12-20 06:00:00,-0.907666666666667,H
176,2021-12-20 07:00:00,-1.45566666666667,H
177,2021-12-20 08:00:00,-1.45633333333333,H
178,2021-12-20 09:00:00,0.355,H
179,2021-12-20 10:00:00,1.32816666666667,H
180,2021-12-20 11:00:00,1.4025,H
181,2021-12-20 12:00:00,2.1055,H
182,2021-12-20 13:00:00,2.7125,H
183,2021-12-20 14:00:00,3.34916666666667,H
184,2021-12-20 15:00:00,3.29616666666667,H
185,2021-12-20 16:00:00,1.88833333333333,H
186,2021-12-20 17:00:00,0.875,H
187,2021-12-20 18:00:00,0.507333333333333,H
188,2021-12-20 19:00:00,-0.232,H
189,2021-12-20 20:00:00,-0.925166666666667,H
190,2021-12-20 21:00:00,-1.49366666666667,H
191,2021-12-20 22:00:00,-1.9145,H
192,2021-12-20 23:00:00,-2.30016666666667,H
193,2021-12-21 00:00:00,-2.68816666666667,H
194,2021-12-21 01:00:00,-3.13866666666667,H
195,2021-12-21 02:00:00,-3.47366666666667,H
196,2021-12-21 03:00:00,-3.87133333333333,H
197,2021-12-21 04:00:00,-4.43383333333333,H
198,2021-12-21 05:00:00,-4.799,H
199,2021-12-21 06:00:00,-5.06383333333333,H
200,2021-12-21 07:00:00,-5.20783333333333,H
201,2021-12-21 08:00:00,-5.18883333333333,H
202,2021-12-21 09:00:00,-4.90166666666667,H
203,2021-12-21 10:00:00,-2.55333333333333,H
204,2021-12-21 11:00:00,-1.80016666666667,H
205,2021-12-21 12:00:00,-1.26583333333333,H
206,2021-12-21 13:00:00,-0.981833333333333,H
207,2021-12-21 14:00:00,-0.981833333333333,H
208,2021-12-21 15:00:00,-1.513,H
209,2021-12-21 16:00:00,-1.47483333333333,H
