dttm,my_hobo
2021-12-23 22:00:00,10.3243
2021-12-23 23:00:00,NA
2021-12-24 00:00:00,10.7808
2021-12-24 01:00:00,11.0087
2021-12-24 02:00:00,10.5688
2021-12-24 03:00:00,10.4385
2021-12-24 04:00:00,10.6833
2021-12-24 05:00:00,10.5367
2021-12-24 06:00:00,10.4877
2021-12-24 07:00:00,10.3407
2021-12-24 08:00:00,9.9977
2021-12-24 09:00:00,9.4717
2021-12-24 10:00:00,8.7793
2021-12-24 11:00:00,8.9118
2021-12-24 12:00:00,9.4062
2021-12-24 13:00:00,9.7842
2021-12-24 14:00:00,9.9813
2021-12-24 15:00:00,9.9482
2021-12-24 16:00:00,9.9317
2021-12-24 17:00:00,10.1773
2021-12-24 18:00:00,10.308
2021-12-24 19:00:00,10.03
2021-12-24 20:00:00,10.3243
2021-12-24 21:00:00,10.4713
2021-12-24 22:00:00,10.1937
2021-12-24 23:00:00,10.1283
2021-12-25 00:00:00,10.063
2021-12-25 01:00:00,10.1773
2021-12-25 02:00:00,10.6995
2021-12-25 03:00:00,10.9435
2021-12-25 04:00:00,11.2037
2021-12-25 05:00:00,10.9925
2021-12-25 06:00:00,10.9112
2021-12-25 07:00:00,10.7808
2021-12-25 08:00:00,10.6995
2021-12-25 09:00:00,10.7482
2021-12-25 10:00:00,10.96
2021-12-25 11:00:00,11.3335
2021-12-25 12:00:00,11.7543
2021-12-25 13:00:00,12.0775
2021-12-25 14:00:00,12.433
2021-12-25 15:00:00,12.1423
2021-12-25 16:00:00,11.4467
2021-12-25 17:00:00,10.4222
2021-12-25 18:00:00,9.8828
2021-12-25 19:00:00,9.8005
2021-12-25 20:00:00,9.505
2021-12-25 21:00:00,9.406
2021-12-25 22:00:00,9.11
2021-12-25 23:00:00,9.077
2021-12-26 00:00:00,8.8622
2021-12-26 01:00:00,6.8238
2021-12-26 02:00:00,5.5348
2021-12-26 03:00:00,4.7785
2021-12-26 04:00:00,4.467
2021-12-26 05:00:00,4.363
2021-12-26 06:00:00,4.207
2021-12-26 07:00:00,NA
2021-12-26 08:00:00,4.2763
2021-12-26 09:00:00,4.3283
2021-12-26 10:00:00,4.968
2021-12-26 11:00:00,6.5037
2021-12-26 12:00:00,7.33
2021-12-26 13:00:00,8.2985
2021-12-26 14:00:00,8.182
2021-12-26 15:00:00,8.0155
2021-12-26 16:00:00,8.0657
2021-12-26 17:00:00,8.282
2021-12-26 18:00:00,8.647
2021-12-26 19:00:00,8.9283
2021-12-26 20:00:00,8.68
2021-12-26 21:00:00,8.9945
2021-12-26 22:00:00,8.9945
2021-12-26 23:00:00,8.9945
2021-12-27 00:00:00,8.4975
2021-12-27 01:00:00,9.225
2021-12-27 02:00:00,9.0763
2021-12-27 03:00:00,9.2582
2021-12-27 04:00:00,8.9612
2021-12-27 05:00:00,8.531
2021-12-27 06:00:00,8.1987
2021-12-27 07:00:00,8.5973
2021-12-27 08:00:00,7.6818
2021-12-27 09:00:00,7.5648
2021-12-27 10:00:00,8.1985
2021-12-27 11:00:00,9.3397
2021-12-27 12:00:00,10.6667
2021-12-27 13:00:00,10.8625
2021-12-27 14:00:00,10.0622
2021-12-27 15:00:00,9.6527
2021-12-27 16:00:00,9.8005
2021-12-27 17:00:00,9.5048
2021-12-27 18:00:00,10.1772
2021-12-27 19:00:00,10.4877
2021-12-27 20:00:00,10.1937
2021-12-27 21:00:00,10.3243
2021-12-27 22:00:00,10.4713
2021-12-27 23:00:00,10.4877
2021-12-28 00:00:00,10.357
2021-12-28 01:00:00,10.3733
2021-12-28 02:00:00,10.3243
2021-12-28 03:00:00,10.5528
2021-12-28 04:00:00,11.1062
2021-12-28 05:00:00,10.5362
2021-12-28 06:00:00,10.6015
2021-12-28 07:00:00,11.3662
2021-12-28 08:00:00,11.1873
2021-12-28 09:00:00,11.3493
2021-12-28 10:00:00,12.029
2021-12-28 11:00:00,13.1078
2021-12-28 12:00:00,14.4212
2021-12-28 13:00:00,14.1977
2021-12-28 14:00:00,13.4455
2021-12-28 15:00:00,12.5932
2021-12-28 16:00:00,11.7057
2021-12-28 17:00:00,11.0897
2021-12-28 18:00:00,10.7158
2021-12-28 19:00:00,10.7158
2021-12-28 20:00:00,10.7157
2021-12-28 21:00:00,10.4877
2021-12-28 22:00:00,10.6833
2021-12-28 23:00:00,10.6183
2021-12-29 00:00:00,10.4223
2021-12-29 01:00:00,10.357
2021-12-29 02:00:00,10.1447
2021-12-29 03:00:00,10.063
2021-12-29 04:00:00,NA
2021-12-29 05:00:00,10.0957
2021-12-29 06:00:00,NA
2021-12-29 07:00:00,9.817
2021-12-29 08:00:00,9.8498
2021-12-29 09:00:00,10.1773
2021-12-29 10:00:00,10.5857
2021-12-29 11:00:00,10.2582
2021-12-29 12:00:00,9.439
2021-12-29 13:00:00,10.3563
2021-12-29 14:00:00,10.5693
2021-12-29 15:00:00,10.6343
2021-12-29 16:00:00,11.1873
2021-12-29 17:00:00,11.7382
2021-12-29 18:00:00,12.3037
2021-12-29 19:00:00,12.8512
2021-12-29 20:00:00,13.2365
2021-12-29 21:00:00,13.638
2021-12-29 22:00:00,13.702
2021-12-29 23:00:00,13.862
2021-12-30 00:00:00,13.83
2021-12-30 01:00:00,13.686
2021-12-30 02:00:00,13.4295
2021-12-30 03:00:00,13.782
2021-12-30 04:00:00,13.91
2021-12-30 05:00:00,14.118
2021-12-30 06:00:00,14.2298
2021-12-30 07:00:00,14.166
2021-12-30 08:00:00,14.3092
2021-12-30 09:00:00,14.437
2021-12-30 10:00:00,14.7725
2021-12-30 11:00:00,15.5212
2021-12-30 12:00:00,16.03
2021-12-30 13:00:00,16.6178
2021-12-30 14:00:00,16.6968
2021-12-30 15:00:00,16.3003
2021-12-30 16:00:00,15.8552
2021-12-30 17:00:00,15.0275
2021-12-30 18:00:00,14.629
2021-12-30 19:00:00,14.3733
2021-12-30 20:00:00,13.99
2021-12-30 21:00:00,13.5893
2021-12-30 22:00:00,12.142
2021-12-30 23:00:00,11.2355
2021-12-31 00:00:00,10.0788
2021-12-31 01:00:00,9.7843
2021-12-31 02:00:00,9.62
2021-12-31 03:00:00,9.1755
2021-12-31 04:00:00,9.2418
2021-12-31 05:00:00,8.9447
2021-12-31 06:00:00,8.8785
2021-12-31 07:00:00,7.0945
2021-12-31 08:00:00,6.2677
2021-12-31 09:00:00,5.7913
2021-12-31 10:00:00,7.844
2021-12-31 11:00:00,9.3733
