Logger_id,Location_id,time,PM10,PM25
5001-C1A5,0,2019-01-18 11:02:28+00,9.8,8.8
5001-C1A5,0,2019-01-18 11:02:30+00,10.1,8.9
5001-C1A5,0,2019-01-18 11:02:34+00,10.5,8.9
5001-C1A5,0,2019-01-18 11:02:36+00,11,9.1
5001-C1A5,0,2019-01-18 11:02:38+00,10.8,9.2
5001-C1A5,0,2019-01-18 11:02:40+00,10.7,9.2
5001-C1A5,0,2019-01-18 11:02:42+00,11.3,9.2
5001-C1A5,0,2019-01-18 11:02:44+00,11,9.3
5001-C1A5,0,2019-01-18 11:02:46+00,11.8,9.5
5001-C1A5,0,2019-01-18 11:02:48+00,11.6,9.6
5001-C1A5,0,2019-01-18 11:02:50+00,11.7,9.6
5001-C1A5,0,2019-01-18 11:02:53+00,10.7,9.4
5001-C1A5,0,2019-01-18 11:02:57+00,13,9.2
5001-C1A5,0,2019-01-18 11:02:59+00,12.8,8.9
5001-C1A5,0,2019-01-18 11:03:00+00,12.5,8.8
5001-C1A5,0,2019-01-18 11:03:04+00,12,8.6
5001-C1A5,0,2019-01-18 11:03:06+00,11.9,8.4
5001-C1A5,0,2019-01-18 11:03:08+00,12.5,8.4
5001-C1A5,0,2019-01-18 11:03:10+00,12.8,8.4
5001-C1A5,0,2019-01-18 11:03:14+00,12,8.3
5001-C1A5,0,2019-01-18 11:03:16+00,12.6,8.1
5001-C1A5,0,2019-01-18 11:03:18+00,13.7,8.2
5001-C1A5,0,2019-01-18 11:03:20+00,13.8,8.1
5001-C1A5,0,2019-01-18 11:03:24+00,12,8
5001-C1A5,0,2019-01-18 11:03:26+00,13,8
5001-C1A5,0,2019-01-18 11:03:28+00,13.3,8.1
5001-C1A5,0,2019-01-18 11:03:30+00,13.7,8.1
5001-C1A5,0,2019-01-18 11:03:34+00,14.3,8.1
5001-C1A5,0,2019-01-18 11:03:36+00,14.6,8.4
5001-C1A5,0,2019-01-18 11:03:38+00,15.6,8.5
5001-C1A5,0,2019-01-18 11:03:40+00,16.1,8.5
5001-C1A5,0,2019-01-18 11:03:44+00,15.9,8.4
5001-C1A5,0,2019-01-18 11:03:46+00,15.3,8.5
5001-C1A5,0,2019-01-18 11:03:48+00,14.7,8.4
5001-C1A5,0,2019-01-18 11:03:50+00,15.5,8.6
5001-C1A5,0,2019-01-18 11:03:54+00,15.4,8.9
5001-C1A5,0,2019-01-18 11:03:56+00,14.2,8.8
5001-C1A5,0,2019-01-18 11:03:58+00,14.4,8.9
5001-C1A5,0,2019-01-18 11:04:00+00,14.7,9
5001-C1A5,0,2019-01-18 11:04:04+00,14.2,9.1
5001-C1A5,0,2019-01-18 11:04:06+00,13.7,8.8
5001-C1A5,0,2019-01-18 11:04:08+00,12.4,8.7
5001-C1A5,0,2019-01-18 11:04:10+00,11.8,8.8
5001-C1A5,0,2019-01-18 11:04:12+00,12,8.6
5001-C1A5,0,2019-01-18 11:04:15+00,11.6,8.5
5001-C1A5,0,2019-01-18 11:04:17+00,12.5,8.7
5001-C1A5,0,2019-01-18 11:04:19+00,11.4,8.5
5001-C1A5,0,2019-01-18 11:04:21+00,11.1,8.5
5001-C1A5,0,2019-01-18 11:04:25+00,11,8.6
5001-C1A5,0,2019-01-18 11:04:27+00,11.1,8.7
5001-C1A5,0,2019-01-18 11:04:29+00,10.2,8.6
5001-C1A5,0,2019-01-18 11:04:31+00,10.1,8.5
5001-C1A5,0,2019-01-18 11:04:35+00,10.3,8.5
5001-C1A5,0,2019-01-18 11:04:37+00,10.6,8.5
5001-C1A5,0,2019-01-18 11:04:39+00,11.1,8.7
5001-C1A5,0,2019-01-18 11:04:41+00,11.2,8.5
5001-C1A5,0,2019-01-18 11:04:45+00,12.3,8.7
5001-C1A5,1,2019-01-18 11:15:21+00,12.3,10.6
5001-C1A5,1,2019-01-18 11:15:23+00,12.6,10.8
5001-C1A5,1,2019-01-18 11:15:25+00,12.2,10.8
5001-C1A5,1,2019-01-18 11:15:27+00,12.4,11
5001-C1A5,1,2019-01-18 11:15:31+00,13.3,11.5
5001-C1A5,1,2019-01-18 11:15:33+00,13.8,11.5
5001-C1A5,1,2019-01-18 11:15:35+00,14.1,11.7
5001-C1A5,1,2019-01-18 11:15:36+00,13.6,11.6
5001-C1A5,1,2019-01-18 11:15:40+00,14.3,11.5
5001-C1A5,1,2019-01-18 11:15:42+00,14.4,11.5
5001-C1A5,1,2019-01-18 11:15:44+00,14.3,11.9
5001-C1A5,1,2019-01-18 11:15:46+00,14.1,11.8
5001-C1A5,1,2019-01-18 11:15:50+00,14.4,11.6
5001-C1A5,1,2019-01-18 11:15:52+00,14.4,11.5
5001-C1A5,1,2019-01-18 11:15:54+00,14.8,11.4
5001-C1A5,1,2019-01-18 11:15:56+00,14.7,11.3
5001-C1A5,1,2019-01-18 11:15:58+00,16.1,11.3
5001-C1A5,1,2019-01-18 11:16:00+00,15.4,10.9
5001-C1A5,1,2019-01-18 11:16:03+00,15.3,10.9
5001-C1A5,1,2019-01-18 11:16:05+00,15.7,10.8
5001-C1A5,1,2019-01-18 11:16:07+00,14.9,10.6
5001-C1A5,1,2019-01-18 11:16:11+00,14.9,10.8
5001-C1A5,1,2019-01-18 11:16:13+00,15.1,10.9
5001-C1A5,1,2019-01-18 11:16:15+00,15.1,10.8
5001-C1A5,1,2019-01-18 11:16:17+00,18.1,10.6
5001-C1A5,1,2019-01-18 11:16:21+00,18.5,10.9
5001-C1A5,1,2019-01-18 11:16:23+00,19.6,10.9
5001-C1A5,1,2019-01-18 11:16:25+00,19.5,10.7
5001-C1A5,1,2019-01-18 11:16:27+00,19.5,10.6
5001-C1A5,1,2019-01-18 11:16:31+00,17.7,10.6
5001-C1A5,1,2019-01-18 11:16:33+00,17.4,10.3
5001-C1A5,1,2019-01-18 11:16:35+00,17.9,10.2
5001-C1A5,1,2019-01-18 11:16:37+00,18.3,10.2
5001-C1A5,1,2019-01-18 11:16:41+00,19.3,10.1
5001-C1A5,1,2019-01-18 11:16:43+00,19.1,9.8
5001-C1A5,1,2019-01-18 11:16:45+00,19,9.8
