date	hour	th	origin
2018-12-21	06	10.42	H
2018-12-21	07	10.53	H
2018-12-21	08	10.58	H
2018-12-21	09	10.17	H
2018-12-21	10	11.20	H
2018-12-21	11	11.34	H
2018-12-21	12	11.51	H
2018-12-21	13	11.28	H
2018-12-21	14	11.31	H
2018-12-21	15	11.67	H
2018-12-21	16	11.41	R
2018-12-21	17	11.37	R
2018-12-21	18	11.49	R
2018-12-21	19	11.89	H
2018-12-21	20	11.94	H
2018-12-21	21	12.06	H
2018-12-21	22	12.22	H
2018-12-21	23	12.51	H
2018-12-22	00	12.83	H
2018-12-22	01	13.07	H
2018-12-22	02	12.88	R
2018-12-22	03	12.75	R
2018-12-22	04	12.88	H
2018-12-22	05	12.64	H
2018-12-22	06	12.48	H
2018-12-22	07	12.23	H
2018-12-22	08	11.72	H
2018-12-22	09	11.99	H
2018-12-22	10	12.28	H
2018-12-22	11	12.75	H
2018-12-22	12	12.33	H
2018-12-22	13	12.41	H
2018-12-22	14	12.56	H
2018-12-22	15	12.49	H
2018-12-22	16	11.81	H
2018-12-22	17	11.36	H
2018-12-22	18	11.43	H
2018-12-22	19	11.30	H
2018-12-22	20	10.84	H
2018-12-22	21	10.71	H
2018-12-22	22	10.58	H
2018-12-22	23	10.76	H
2018-12-23	00	10.73	H
2018-12-23	01	10.23	R
2018-12-23	02	10.42	H
2018-12-23	03	10.30	H
2018-12-23	04	10.17	H
2018-12-23	05	9.892	R
2018-12-23	06	9.855	R
2018-12-23	07	10.12	H
2018-12-23	08	9.929	R
2018-12-23	09	10.34	H
2018-12-23	10	10.60	H
2018-12-23	11	10.79	H
2018-12-23	12	10.52	H
2018-12-23	13	10.34	H
2018-12-23	14	11.26	H
2018-12-23	15	11.21	R
2018-12-23	16	11.75	H
2018-12-23	17	12.07	H
2018-12-23	18	11.94	R
2018-12-23	19	12.27	H
2018-12-23	20	12.43	H
2018-12-23	21	12.28	R
2018-12-23	22	12.36	R
2018-12-23	23	12.40	R
2018-12-24	00	12.48	R
2018-12-24	01	12.42	R
2018-12-24	02	12.64	H
2018-12-24	03	12.06	R
2018-12-24	04	12.04	R
2018-12-24	05	11.70	H
2018-12-24	06	10.48	H
2018-12-24	07	9.915	H
2018-12-24	08	9.291	H
2018-12-24	09	8.928	H
2018-12-24	10	8.696	H
2018-12-24	11	6.752	R
2018-12-24	12	9.225	H
2018-12-24	13	9.373	H
2018-12-24	14	9.159	H
2018-12-24	15	8.281	H
2018-12-24	16	7.127	H
2018-12-24	17	5.722	H
2018-12-24	18	4.744	H
2018-12-24	19	4.363	H
2018-12-24	20	4.032	H
2018-12-24	21	3.648	H
