"ID","date","hour","th","origin"
"238",2018-12-19,21,6.37,"H"
"239",2018-12-19,22,7.977,"R"
"240",2018-12-19,23,7.414,"H"
"241",2018-12-20,0,7.498,"H"
"242",2018-12-20,1,7.632,"H"
"243",2018-12-20,2,7.732,"H"
"244",2018-12-20,3,7.749,"H"
"245",2018-12-20,4,7.782,"H"
"246",2018-12-20,5,8.14,"R"
"247",2018-12-20,6,7.498,"H"
"248",2018-12-20,7,7.498,"H"
"249",2018-12-20,8,7.314,"H"
"250",2018-12-20,9,7.33,"H"
"251",2018-12-20,10,8.645,"H"
"252",2018-12-20,11,9.538,"H"
"253",2018-12-20,12,10.062,"H"
"254",2018-12-20,13,10.258,"H"
"255",2018-12-20,14,8.878,"H"
"256",2018-12-20,15,8.646,"H"
"257",2018-12-20,16,7.532,"H"
"258",2018-12-20,17,7.062,"H"
"259",2018-12-20,18,7.213,"H"
"260",2018-12-20,19,7.782,"H"
"261",2018-12-20,20,7.932,"H"
"262",2018-12-20,21,8.049,"H"
"263",2018-12-20,22,8.099,"H"
"264",2018-12-20,23,8.282,"H"
"265",2018-12-21,0,8.531,"H"
"266",2018-12-21,1,8.663,"H"
"267",2018-12-21,2,8.829,"H"
"268",2018-12-21,3,8.68,"H"
"269",2018-12-21,4,9.11,"H"
"270",2018-12-21,5,10.279,"R"
"271",2018-12-21,6,10.308,"H"
"272",2018-12-21,7,10.406,"H"
"273",2018-12-21,8,10.341,"H"
"274",2018-12-21,9,9.817,"H"
"275",2018-12-21,10,11.106,"H"
"276",2018-12-21,11,10.829,"H"
"277",2018-12-21,12,11.35,"H"
"278",2018-12-21,13,11.139,"H"
"279",2018-12-21,14,11.058,"H"
"280",2018-12-21,15,11.706,"H"
"281",2018-12-21,16,11.641,"H"
"282",2018-12-21,17,11.48,"R"
"283",2018-12-21,18,11.738,"H"
"284",2018-12-21,19,11.803,"H"
"285",2018-12-21,20,11.867,"H"
"286",2018-12-21,21,11.997,"H"
"287",2018-12-21,22,12.142,"H"
"288",2018-12-21,23,12.401,"H"
"289",2018-12-22,0,12.61,"H"
"290",2018-12-22,1,12.915,"H"
"291",2018-12-22,2,12.964,"H"
"292",2018-12-22,3,12.851,"H"
"293",2018-12-22,4,12.561,"H"
"294",2018-12-22,5,12.385,"H"
"295",2018-12-22,6,12.159,"H"
"296",2018-12-22,7,11.932,"H"
"297",2018-12-22,8,11.479,"H"
"298",2018-12-22,9,11.819,"H"
"299",2018-12-22,10,11.981,"H"
"300",2018-12-22,11,12.578,"H"
"301",2018-12-22,12,12.142,"H"
"302",2018-12-22,13,12.288,"H"
"303",2018-12-22,14,12.223,"H"
"304",2018-12-22,15,12.417,"H"
"305",2018-12-22,16,11.641,"H"
"306",2018-12-22,17,11.285,"H"
"307",2018-12-22,18,11.204,"H"
"308",2018-12-22,19,10.895,"H"
"309",2018-12-22,20,10.471,"H"
"310",2018-12-22,21,10.27,"R"
"311",2018-12-22,22,10.324,"H"
"312",2018-12-22,23,10.471,"H"
"313",2018-12-23,0,10.586,"H"
"314",2018-12-23,1,10.422,"H"
"315",2018-12-23,2,10.046,"H"
"316",2018-12-23,3,9.801,"H"
"317",2018-12-23,4,9.686,"H"
"318",2018-12-23,5,9.719,"H"
"319",2018-12-23,6,9.801,"H"
"320",2018-12-23,7,9.735,"H"
"321",2018-12-23,8,10.06,"R"
"322",2018-12-23,9,10.21,"H"
"323",2018-12-23,10,10.7,"H"
"324",2018-12-23,11,10.879,"H"
"325",2018-12-23,12,10.341,"H"
"326",2018-12-23,13,9.899,"H"
"327",2018-12-23,14,10.895,"H"
"328",2018-12-23,15,11.317,"H"
"329",2018-12-23,16,11.382,"H"
"330",2018-12-23,17,11.9,"H"
"331",2018-12-23,18,12.11,"H"
"332",2018-12-23,19,12.288,"H"
"333",2018-12-23,20,12.433,"H"
"334",2018-12-23,21,12.529,"H"
"335",2018-12-23,22,12.444,"R"
"336",2018-12-23,23,12.481,"R"
"337",2018-12-24,0,12.563,"R"
"338",2018-12-24,1,12.739,"H"
"339",2018-12-24,2,12.529,"H"
"340",2018-12-24,3,12.433,"H"
"341",2018-12-24,4,12.352,"H"
"342",2018-12-24,5,10.57,"R"
"343",2018-12-24,6,9.127,"H"
"344",2018-12-24,7,8.581,"H"
"345",2018-12-24,8,7.698,"H"
"346",2018-12-24,9,7.246,"H"
"347",2018-12-24,10,7.33,"H"
"348",2018-12-24,11,7.498,"H"
"349",2018-12-24,12,7.816,"H"
"350",2018-12-24,13,7.965,"H"
"351",2018-12-24,14,7.748,"H"
"352",2018-12-24,15,6.775,"H"
"353",2018-12-24,16,5.723,"H"
"354",2018-12-24,17,4.397,"H"
"355",2018-12-24,18,3.752,"H"
"356",2018-12-24,19,2.925,"H"
"357",2018-12-24,20,2.356,"H"
"358",2018-12-24,21,2.32,"H"
"359",2018-12-24,22,2.07,"H"
"360",2018-12-24,23,1.656,"H"
"361",2018-12-25,0,1.348,"H"
"362",2018-12-25,1,1.13,"H"
"363",2018-12-25,2,0.49,"H"
"364",2018-12-25,3,0.453,"H"
"365",2018-12-25,4,0.121,"H"
"366",2018-12-25,5,-0.139,"H"
"367",2018-12-25,6,-0.606,"H"
"368",2018-12-25,7,-0.831,"H"
"369",2018-12-25,8,-0.549,"H"
"370",2018-12-25,9,-0.457,"H"
"371",2018-12-25,10,0.471,"H"
"372",2018-12-25,11,0.911,"H"
"373",2018-12-25,12,1.239,"H"
"374",2018-12-25,13,1.727,"H"
"375",2018-12-25,14,2.195,"H"
"376",2018-12-25,15,1.782,"H"
"377",2018-12-25,16,1.148,"H"
"378",2018-12-25,17,0.508,"H"
"379",2018-12-25,18,0.692,"H"
"380",2018-12-25,19,0.397,"R"
"381",2018-12-25,20,0.379,"H"
"382",2018-12-25,21,0.637,"H"
"383",2018-12-25,22,0.508,"H"
"384",2018-12-25,23,-0.065,"H"
"385",2018-12-26,0,-0.027,"H"
"386",2018-12-26,1,-0.439,"H"
"387",2018-12-26,2,-0.812,"H"
"388",2018-12-26,3,-0.68,"H"
"389",2018-12-26,4,-0.695,"R"
"390",2018-12-26,5,-0.923,"R"
"391",2018-12-26,6,-1.38,"H"
"392",2018-12-26,7,-1.247,"H"
"393",2018-12-26,8,-2.165,"H"
"394",2018-12-26,9,-1.917,"H"
"395",2018-12-26,10,-0.493,"H"
"396",2018-12-26,11,-0.822,"R"
"397",2018-12-26,12,1.403,"H"
"398",2018-12-26,13,1.002,"H"
"399",2018-12-26,14,0.802,"H"
"400",2018-12-26,15,0.746,"H"
"401",2018-12-26,16,-0.251,"H"
"402",2018-12-26,17,-0.437,"H"
"403",2018-12-26,18,-0.437,"H"
"404",2018-12-26,19,-0.456,"H"
"405",2018-12-26,20,-0.963,"H"
"406",2018-12-26,21,-0.831,"H"
"407",2018-12-26,22,-1.02,"H"
"408",2018-12-26,23,-2.05,"H"
"409",2018-12-27,0,-2.146,"H"
"410",2018-12-27,1,-1.361,"H"
"411",2018-12-27,2,-1.494,"H"
"412",2018-12-27,3,-2.223,"H"
"413",2018-12-27,4,-2.03,"H"
"414",2018-12-27,5,-1.781,"H"
"415",2018-12-27,6,-2.708,"H"
"416",2018-12-27,7,-2.107,"H"
"417",2018-12-27,8,-2.864,"H"
"418",2018-12-27,9,-2.042,"R"
"419",2018-12-27,10,-0.776,"H"
"420",2018-12-27,11,-0.027,"H"
"421",2018-12-27,12,0.232,"H"
"422",2018-12-27,13,0.838,"H"
"423",2018-12-27,14,0.912,"H"
"424",2018-12-27,15,1.239,"H"
"425",2018-12-27,16,0.71,"H"
"426",2018-12-27,17,0.195,"H"
"427",2018-12-27,18,-0.139,"H"
"428",2018-12-27,19,-0.25,"H"
"429",2018-12-27,20,-0.176,"H"
"430",2018-12-27,21,-0.176,"H"
"431",2018-12-27,22,-0.437,"H"
"432",2018-12-27,23,-0.474,"H"
"433",2018-12-28,0,-0.493,"H"
"434",2018-12-28,1,-0.195,"H"
