#HOBO_ID 10801132
#Location_Lat_Lon 48.012 7.853
#Alt_above_ground 4.5
#Exposition S
#Influence_class 2
id	date	time	ta	lux
565	2018-12-12	22:00	-0.774	0
566	2018-12-12	22:10	-0.662	0
567	2018-12-12	22:20	-0.774	0
568	2018-12-12	22:30	-0.887	0
569	2018-12-12	22:40	-0.774	0
570	2018-12-12	22:50	-0.887	0
571	2018-12-12	23:00	-0.887	0
572	2018-12-12	23:10	-0.887	0
573	2018-12-12	23:20	-1.001	0
574	2018-12-12	23:30	-1.001	0
575	2018-12-12	23:40	-1.001	0
576	2018-12-12	23:50	-0.774	0
577	2018-12-13	00:00	-0.774	0
578	2018-12-13	00:10	-0.549	0
579	2018-12-13	00:20	-0.437	0
580	2018-12-13	00:30	-0.325	0
581	2018-12-13	00:40	-0.102	0
582	2018-12-13	00:50	0.01	0
583	2018-12-13	01:00	-0.102	0
584	2018-12-13	01:10	-0.437	0
585	2018-12-13	01:20	-0.662	0
586	2018-12-13	01:30	-0.662	0
587	2018-12-13	01:40	-0.662	0
588	2018-12-13	01:50	-0.662	0
589	2018-12-13	02:00	-0.662	0
590	2018-12-13	02:10	-0.662	0
591	2018-12-13	02:20	-0.437	0
592	2018-12-13	02:30	-0.437	0
593	2018-12-13	02:40	-0.325	0
594	2018-12-13	02:50	-0.213	0
595	2018-12-13	03:00	-0.102	0
596	2018-12-13	03:10	-0.102	0
597	2018-12-13	03:20	-0.102	0
598	2018-12-13	03:30	0.01	0
599	2018-12-13	03:40	-0.102	0
600	2018-12-13	03:50	-0.213	0
601	2018-12-13	04:00	-0.213	0
602	2018-12-13	04:10	-0.213	0
603	2018-12-13	04:20	-0.213	0
604	2018-12-13	04:30	-0.325	0
605	2018-12-13	04:40	-0.213	0
606	2018-12-13	04:50	-0.213	0
607	2018-12-13	05:00	-0.102	0
608	2018-12-13	05:10	-0.102	0
609	2018-12-13	05:20	0.01	0
610	2018-12-13	05:30	0.01	0
611	2018-12-13	05:40	0.01	0
612	2018-12-13	05:50	0.01	0
613	2018-12-13	06:00	0.232	0
614	2018-12-13	06:10	0.232	0
615	2018-12-13	06:20	0.01	0
616	2018-12-13	06:30	0.01	0
617	2018-12-13	06:40	0.121	0
618	2018-12-13	06:50	0.121	0
619	2018-12-13	07:00	0.01	0
620	2018-12-13	07:10	0.232	0
621	2018-12-13	07:20	0.453	0
622	2018-12-13	07:30	0.121	0
623	2018-12-13	07:40	0.01	0
624	2018-12-13	07:50	-0.102	0
625	2018-12-13	08:00	-0.102	32.3
626	2018-12-13	08:10	-0.213	86.1
627	2018-12-13	08:20	0.01	129.2
628	2018-12-13	08:30	0.563	247.6
629	2018-12-13	08:40	0.674	527.4
630	2018-12-13	08:50	0.784	764.2
631	2018-12-13	09:00	1.112	1065.6
632	2018-12-13	09:10	0.784	495.1
633	2018-12-13	09:20	0.563	538.2
634	2018-12-13	09:30	0.563	936.5
635	2018-12-13	09:40	0.674	1324
636	2018-12-13	09:50	0.893	1377.8
637	2018-12-13	10:00	0.893	710.4
638	2018-12-13	10:10	1.33	1141
639	2018-12-13	10:20	1.33	1722.2
640	2018-12-13	10:30	1.439	1722.2
641	2018-12-13	10:40	1.439	1550
642	2018-12-13	10:50	1.656	1550
643	2018-12-13	11:00	1.439	1108.7
644	2018-12-13	11:10	1.656	2497.2
645	2018-12-13	11:20	1.548	1636.1
646	2018-12-13	11:30	2.41	2583.4
647	2018-12-13	11:40	2.41	2927.8
648	2018-12-13	11:50	2.73	3788.9
649	2018-12-13	12:00	3.998	6200
