dttm,temp,origin
2023.11.09 02,4.7137,H
2023.11.09 03,4.1263,H
2023.11.09 04,3.8487,H
2023.11.09 05,4.5068,H
2023.11.09 06,4.6963,H
2023.11.09 07,4.8252,R
2023.11.09 08,9.5563,H
2023.11.09 09,10.7320,H
2023.11.09 10,12.1383,H
2023.11.09 11,12.4447,H
2023.11.09 12,11.5257,H
2023.11.09 13,11.6065,H
2023.11.09 14,10.3245,H
2023.11.09 15,9.5900,H
2023.11.09 16,10.1948,H
2023.11.09 17,9.1797,H
2023.11.09 18,8.9165,H
2023.11.09 19,8.7848,H
2023.11.09 20,9.8353,H
2023.11.09 21,11.0075,H
2023.11.09 22,11.5903,H
2023.11.09 23,11.7520,H
2023.11.10 00,11.2183,H
2023.11.10 01,9.1600,H
2023.11.10 02,7.5403,H
2023.11.10 03,6.5523,H
2023.11.10 04,7.0227,H
2023.11.10 05,7.4238,H
2023.11.10 06,8.0070,H
2023.11.10 07,8.0073,H
2023.11.10 08,8.1400,H
2023.11.10 09,8.3717,H
2023.11.10 10,8.1730,H
2023.11.10 11,9.1632,H
2023.11.10 12,10.1127,H
2023.11.10 13,10.2762,H
2023.11.10 14,9.7213,H
2023.11.10 15,9.8028,H
2023.11.10 16,9.4755,H
2023.11.10 17,9.6397,H
2023.11.10 18,9.6887,H
2023.11.10 19,9.7702,H
2023.11.10 20,9.3440,H
2023.11.10 21,9.7375,H
2023.11.10 22,7.5740,H
2023.11.10 23,7.6908,H
2023.11.11 00,7.6913,H
2023.11.11 01,7.7408,H
2023.11.11 02,7.8740,H
2023.11.11 03,7.7075,H
2023.11.11 04,7.2237,H
2023.11.11 05,7.0562,H
2023.11.11 06,6.9555,H
2023.11.11 07,6.6703,H
2023.11.11 08,6.6193,H
2023.11.11 09,7.1228,H
2023.11.11 10,8.0402,H
2023.11.11 11,8.5867,H
2023.11.11 12,8.8507,H
2023.11.11 13,9.8442,H
2023.11.11 14,8.4432,R
2023.11.11 15,9.3277,H
2023.11.11 16,7.7722,H
2023.11.11 17,6.8550,H
2023.11.11 18,6.6700,H
2023.11.11 19,6.1640,H
2023.11.11 20,5.8930,H
2023.11.11 21,5.8250,H
2023.11.11 22,5.6210,H
2023.11.11 23,6.1942,R
2023.11.12 00,5.6380,H
2023.11.12 01,4.9193,H
2023.11.12 02,4.0223,H
2023.11.12 03,3.8835,H
2023.11.12 04,3.6398,H
2023.11.12 05,3.6573,H
2023.11.12 06,3.8140,H
2023.11.12 07,4.0223,H
2023.11.12 08,4.3515,H
2023.11.12 09,4.5319,R
2023.11.12 10,8.2707,H
2023.11.12 11,6.5178,H
2023.11.12 12,6.3998,H
2023.11.12 13,6.1642,H
2023.11.12 14,5.8760,H
2023.11.12 15,5.7570,H
2023.11.12 16,5.9757,H
2023.11.12 17,9.1782,H
2023.11.12 18,10.6342,H
2023.11.12 19,11.4448,H
2023.11.12 20,11.9620,H
2023.11.12 21,12.2357,H
2023.11.12 22,11.6542,H
2023.11.12 23,10.5043,H
