#HOBO_ID 10760810
#Location_Lat_Lon 48.0122 7.853
#Alt_above_ground 4.5
#Exposition N
#Influence_class 2
id	date	time	ta	lux
334	2018-12-11	07:30:00	1.872	0
335	2018-12-11	07:40:00	1.764	10.8
336	2018-12-11	07:50:00	1.872	53.8
337	2018-12-11	08:00:00	1.764	172.2
338	2018-12-11	08:10:00	1.764	355.2
339	2018-12-11	08:20:00	1.872	688.9
340	2018-12-11	08:30:00	1.98	990.3
341	2018-12-11	08:40:00	1.98	1259.4
342	2018-12-11	08:50:00	2.195	1463.9
343	2018-12-11	09:00:00	2.195	1808.3
344	2018-12-11	09:10:00	2.41	1980.6
345	2018-12-11	09:20:00	2.624	2152.8
346	2018-12-11	09:30:00	2.837	2411.1
347	2018-12-11	09:40:00	3.049	2755.6
348	2018-12-11	09:50:00	3.261	2927.8
349	2018-12-11	10:00:00	3.367	3272.2
350	2018-12-11	10:10:00	3.578	3272.2
351	2018-12-11	10:20:00	3.998	3444.5
352	2018-12-11	10:30:00	4.207	3444.5
353	2018-12-11	10:40:00	4.415	3788.9
354	2018-12-11	10:50:00	4.623	3961.1
355	2018-12-11	11:00:00	4.831	3961.1
356	2018-12-11	11:10:00	5.141	4477.8
357	2018-12-11	11:20:00	5.552	5338.9
358	2018-12-11	11:30:00	5.962	5511.1
359	2018-12-11	11:40:00	6.064	5511.1
360	2018-12-11	11:50:00	6.268	5511.1
361	2018-12-11	12:00:00	6.674	6544.5
362	2018-12-11	12:10:00	6.573	6200
363	2018-12-11	12:20:00	6.573	5511.1
364	2018-12-11	12:30:00	6.471	5166.7
365	2018-12-11	12:40:00	6.37	5511.1
366	2018-12-11	12:50:00	6.471	5166.7
367	2018-12-11	13:00:00	6.37	5511.1
368	2018-12-11	13:10:00	6.37	5166.7
369	2018-12-11	13:20:00	6.166	4650
370	2018-12-11	13:30:00	6.37	5511.1
371	2018-12-11	13:40:00	6.573	6200
372	2018-12-11	13:50:00	6.674	7577.8
373	2018-12-11	14:00:00	7.079	8266.7
374	2018-12-11	14:10:00	7.079	7233.4
375	2018-12-11	14:20:00	7.179	6200
376	2018-12-11	14:30:00	6.978	5511.1
377	2018-12-11	14:40:00	6.775	5338.9
378	2018-12-11	14:50:00	6.573	4477.8
379	2018-12-11	15:00:00	6.37	3961.1
380	2018-12-11	15:10:00	6.268	3616.7
381	2018-12-11	15:20:00	6.064	3272.2
382	2018-12-11	15:30:00	5.757	2325
383	2018-12-11	15:40:00	5.45	1808.3
384	2018-12-11	15:50:00	5.037	1550
385	2018-12-11	16:00:00	4.934	1377.8
386	2018-12-11	16:10:00	4.831	893.4
387	2018-12-11	16:20:00	4.727	602.8
388	2018-12-11	16:30:00	4.623	322.9
389	2018-12-11	16:40:00	4.519	161.5
390	2018-12-11	16:50:00	4.519	43.1
391	2018-12-11	17:00:00	4.415	0
392	2018-12-11	17:10:00	4.207	0
393	2018-12-11	17:20:00	4.207	0
394	2018-12-11	17:30:00	4.207	0
395	2018-12-11	17:40:00	4.311	0
396	2018-12-11	17:50:00	4.415	0
397	2018-12-11	18:00:00	4.519	0
398	2018-12-11	18:10:00	4.519	0
